Days	A_22Na	Flux
y_axis	2	1
0	0	0
0.5		2.773E-05
1.0	1.989E-06	 
1.5		5.966E-03
2.0	4.298E-04	 
2.5		3.800E-02
3.0	3.155E-03	 
3.5		9.836E-02
4.0	1.021E-02	 
4.5		1.547E-01
5.0	2.130E-02	 
5.5		2.049E-01
6.0	3.538E-02	 
6.5		2.349E-01
7.0	5.292E-02	 
7.5		2.749E-01
8.0	7.264E-02	 
8.5		3.057E-01
9.0	9.456E-02	 
9.5		3.148E-01
10.0	1.172E-01	 
10.5		3.319E-01
11.0	1.410E-01	 
11.5		3.440E-01
12.0	1.656E-01	 
12.5		3.663E-01
13.0	1.918E-01	 
13.5		3.600E-01
14.0	2.177E-01	 
14.5		3.726E-01
15.0	2.444E-01	 
15.5		3.719E-01
16.0	2.710E-01	 
16.5		3.762E-01
17.0	2.980E-01	 
17.5		3.379E-01
18.0	3.224E-01	 
18.5		4.052E-01
19.0	3.513E-01	 
19.5		3.831E-01
20.0	3.787E-01	 
20.5		3.890E-01
21.0	4.066E-01	 
21.5		3.899E-01
22.0	4.346E-01	 
22.5		3.955E-01
23.0	4.630E-01	 
23.5		3.905E-01
24.0	4.911E-01	 
24.5		3.523E-01
25.0	5.164E-01	
25.5		4.113E-01
26.0	5.457E-01	 
26.5		3.825E-01
27.0	5.731E-01	 
27.5		3.876E-01
28.0	6.009E-01	 
28.5		3.779E-01
29.0	6.280E-01	 
29.5		3.764E-01
30.0	6.550E-01	 
30.5		3.789E-01
31.0	6.822E-01	 
31.5		3.697E-01
32.0	7.087E-01	 
32.5		3.397E-01
33.0	7.330E-01	 
33.5		4.001E-01
34.0	7.617E-01	 
34.5		3.800E-01
35.0	7.890E-01	 
35.5		3.802E-01
36.0	8.162E-01	 
36.5		3.763E-01
37.0	8.432E-01	 
37.5		3.780E-01
38.0	8.703E-01	 
38.5		3.730E-01
39.0	8.970E-01	 
39.5		3.697E-01
40.0	9.236E-01	 
40.5		3.684E-01
41.0	9.500E-01	 
