Days	A_36Cl	Flux
y_axis	2	1
0.00	0.000E+00	0.000E+00
0.50		4.224E-03
1.00	3.029E-04	 
1.50		1.005E-01
2.00	7.506E-03	 
2.50		3.605E-01
3.00	3.336E-02	 
3.50		6.147E-01
4.00	7.743E-02	 
4.50		8.017E-01
5.00	1.349E-01	 
5.50		9.087E-01
6.00	2.001E-01	 
6.50		1.002E+00
7.00	2.719E-01	 
7.50		1.078E+00
8.00	3.492E-01	 
8.50		1.102E+00
9.00	4.282E-01	 
9.50		1.148E+00
10.00	5.106E-01	 
10.50		1.162E+00
11.00	5.939E-01	 
11.50		1.150E+00
12.00	6.763E-01	 
12.50		1.136E+00
13.00	7.578E-01	 
13.51		1.127E+00
14.02	8.406E-01	 
14.51		1.117E+00
15.00	9.187E-01	 
15.49		1.146E+00
15.98	9.989E-01	 
16.49		1.099E+00
17.00	1.080E+00	 
17.50		1.135E+00
18.00	1.161E+00	 
19.50		1.069E+00
21.00	1.391E+00	 
22.00		1.109E+00
23.00	1.550E+00	 
24.00		1.109E+00
25.00	1.709E+00	 
26.50		1.057E+00
28.00	1.936E+00	 
29.00		1.085E+00
30.00	2.092E+00	 
31.00		1.104E+00
32.00	2.250E+00	 
33.50		1.085E+00
35.00	2.484E+00	
