tc	0.1M.Na2CO3	0.5M	1.M
5	-9.62	-4.24	1.28
6	-9.13	-3.73	1.53
7	-8.94	-3.22	1.78
8	-8.45	-2.79	2.05
9	-8.16	-2.38	2.29
10	-7.68	-2.03	2.50
11	-7.09	-1.62	2.74
12	-7.01	-1.29	2.95
13	-6.72	-0.98	3.16
14	-6.34	-0.69	3.36
15	-6.06	-0.42	3.53
16	-5.69	-0.19	3.71
17	-5.51	0.06	3.91
18	-5.43	0.25	4.09
19	-4.96	0.48	4.26
20	-4.68	0.69	4.41
21	-4.41	0.86	4.55
22	-4.14	1.03	4.72
23	-3.86	1.23	4.86
24	-3.69	1.40	4.99
25	-3.42	1.53	5.12
26	-3.25	1.70	5.26
27	-3.18	1.86	5.38
28	-3.01	1.99	5.50
29	-2.75	2.11	5.62
30	-2.58	2.27	5.73
31	-2.42	2.36	5.82
32	-2.15	2.48	5.92
33	-2.09	2.61	6.05
34	-2.02	2.71	6.12
35	-1.76	2.81	6.21
36	-1.70	2.91	6.29
37	-1.54	2.97	6.38
38	-1.48	3.07	6.44
39	-1.21	3.15	6.53
40	-1.16	3.23	6.60
41	-1.00	3.29	6.67
42	-0.84	3.37	6.72
43	-0.88	3.39	6.78
44	-0.83	3.45	6.84
45	-0.67	3.51	6.88
46	-0.51	3.56	6.93
47	-0.46	3.58	6.96
48	-0.30	3.62	6.99
49	-0.15	3.67	7.02
50	-0.09	3.69	7.06
51	-0.04	3.70	7.09
52	-0.09	3.64	7.10
53	0.16	3.62	7.12
54	0.11	3.55	7.10
55	-0.04	3.46	7.09
56	-0.09	3.43	7.10
57	-0.05	3.37	7.10
58	-0.20	3.20	7.08
59	-0.15	3.07	7.08
60	-0.31	2.98	7.08
61	-0.68	2.74	7.03
62	-0.73	2.57	7.01
63	-0.79	2.37	6.98
64	-0.85	2.12	6.96
65	-0.91	1.85	6.93
66	-1.15	1.56	6.87
67	-1.41	1.19	6.83
68	-1.61	0.81	6.75
69	-1.88	0.40	6.70
70	-2.05	-0.12	6.63
