p/MPa	1.5°C	23°C	50.3°C	75.2°C	100.3°C	125.4°C	150.8°C	176°C
# p	rho/g/L
15.01	1012.0
30.11	1019.0
50.24	1028.1
70.36	1036.8
100.67	1049.3
15.10		1008.6
30.20		1015.0
50.26		1023.4
70.33		1031.4
100.65		1042.9
15.02			998.4
30.13			1004.7
50.25			1012.8
70.36			1020.6
100.72			1031.6
15.05				984.8
30.15				991.3
50.27				999.5
70.37				1007.3
100.71				1018.6
15.09					967.8
30.18					974.6
50.28					983.2
70.39					991.5
100.71					1003.2
15.06						948.3
30.17						955.6
50.29						964.9
70.39						973.7
100.71						986.0
15.07							925.9	
30.18							934.0	
50.30							944.2	
70.42							953.8	
100.71							967.1	
15.08								900.7
30.19								909.9
50.31								921.3
70.42								931.8
100.71								946.4
