P/atm	29.6°C	39.6°C	49.7°C	58.8°C
11.1	998.17			
21.2	1000.65			
41.3	1005.12			
61.7	1010.48			
81.5	1012.56			
101.9	1013.73			
122.0	1014.7			
141.9	1015.77			
162.3	1016.84			
182.2	1017.92			
202.2	1018.89			
222.3	1019.96			
242.0	1021.05			
261.9	1022.02			
281.8	1023.1			
301.0	1024.1			
10.9		994.25		
21.4		996.81		
41.4		1000.89		
61.7		1004.25		
81.9		1006.82		
101.9		1008.19		
122.2		1009.36		
142.2		1010.54		
162.2		1011.61		
182.2		1012.59		
201.3		1013.69		
221.7		1014.64		
241.4		1015.73		
261.4		1016.71		
281.1		1017.8		
10.9			988.52	
20.7			990.71	
41.3			995.07	
61.4			997.94	
81.5			1000.51	
101.5			1002.38	
121.7			1003.75	
142.1			1005.11	
162.0			1006.09	
181.9			1007.07	
201.7			1008.15	
221.6			1009.13	
241.8			1010.3	
261.8			1011.27	
281.8			1012.45	
11.6				984.63
21.6				986.11
41.5				989.69
61.8				992.46
82.0				995.03
101.9				996.6
121.5				998.3
141.5				999.28
161.5				1000.25
181.5				1001.53
201.4				1002.59
221.3				1003.86
241.4				1005.05
261.2				1005.93
281.0				1007.22
