           P	       75.oC
 2.0400e+000	 9.9377e-001
 4.0915e+000	 9.8752e-001
 6.1532e+000	 9.8127e-001
 8.2251e+000	 9.7500e-001
 1.0307e+001	 9.6874e-001
 1.2400e+001	 9.6246e-001
 1.4502e+001	 9.5618e-001
 1.6615e+001	 9.4989e-001
 1.8738e+001	 9.4359e-001
 2.0872e+001	 9.3729e-001
 4.2785e+001	 8.7399e-001
 6.5768e+001	 8.1041e-001
 8.9840e+001	 7.4688e-001
 1.1500e+002	 6.8386e-001
 1.4136e+002	 6.1841e-001
 1.6805e+002	 5.6933e-001
 1.9512e+002	 5.2918e-001
 2.2245e+002	 4.9622e-001
 2.4997e+002	 4.6911e-001
 2.7763e+002	 4.4681e-001
 3.0537e+002	 4.2849e-001
 3.3317e+002	 4.1348e-001
 3.6100e+002	 4.0127e-001
 3.8885e+002	 3.9141e-001
 4.1671e+002	 3.8356e-001
 4.4457e+002	 3.7743e-001
 4.7243e+002	 3.7276e-001
 5.0029e+002	 3.6937e-001
 5.2815e+002	 3.6706e-001
