        cell	       shift	        dist	          Na	           K	          Mg	          Ca	         Alk	          pH	
  1.0000e+00	  0.0000e+00	  1.6000e+00	  1.0000e-01	  5.0000e-02	  0.0000e+00	  1.4031e+00	  2.8062e+00	  7.5778e+00	
  2.0000e+00	  0.0000e+00	  4.8000e+00	  1.0000e-01	  5.0000e-02	  0.0000e+00	  1.4031e+00	  2.8062e+00	  7.5778e+00	
  3.0000e+00	  0.0000e+00	  8.0000e+00	  1.0000e-01	  5.0000e-02	  0.0000e+00	  1.4031e+00	  2.8062e+00	  7.5778e+00	
  4.0000e+00	  0.0000e+00	  1.1200e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.3210e+00	  1.5386e+01	  6.7914e+00	
  5.0000e+00	  0.0000e+00	  1.4400e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.3210e+00	  1.5386e+01	  6.7914e+00	
  6.0000e+00	  0.0000e+00	  1.7600e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.3210e+00	  1.5386e+01	  6.7914e+00	
  7.0000e+00	  0.0000e+00	  2.0800e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.3210e+00	  1.5386e+01	  6.7914e+00	
  8.0000e+00	  0.0000e+00	  2.4000e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.3210e+00	  1.5386e+01	  6.7914e+00	
  9.0000e+00	  0.0000e+00	  2.7200e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.3210e+00	  1.5386e+01	  6.7914e+00	
  1.0000e+01	  0.0000e+00	  3.0400e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.3210e+00	  1.5386e+01	  6.7914e+00	
  1.1000e+01	  0.0000e+00	  3.3600e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.3210e+00	  1.5386e+01	  6.7914e+00	
  1.3000e+01	  0.0000e+00	  3.6800e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.3210e+00	  1.5386e+01	  6.7914e+00	
  1.4000e+01	  0.0000e+00	  4.0000e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.3210e+00	  1.5386e+01	  6.7914e+00	
  1.5000e+01	  0.0000e+00	  4.3200e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.3210e+00	  1.5386e+01	  6.7914e+00	
  1.6000e+01	  0.0000e+00	  4.6400e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.3210e+00	  1.5386e+01	  6.7914e+00	
  1.7000e+01	  0.0000e+00	  4.9600e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.3210e+00	  1.5386e+01	  6.7914e+00	
  1.8000e+01	  0.0000e+00	  5.2800e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.3210e+00	  1.5386e+01	  6.7914e+00	
  1.9000e+01	  0.0000e+00	  5.6000e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.3210e+00	  1.5386e+01	  6.7914e+00	
  2.0000e+01	  0.0000e+00	  5.9200e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.3210e+00	  1.5386e+01	  6.7914e+00	
  2.1000e+01	  0.0000e+00	  6.2400e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.3210e+00	  1.5386e+01	  6.7914e+00	
  1.0000e+00	  7.0000e+01	  1.6000e+00	  1.0013e-01	  5.1097e-02	  5.2361e-03	  1.3972e+00	  2.8060e+00	  7.5797e+00	
  2.0000e+00	  7.0000e+01	  4.8000e+00	  1.0077e-01	  5.7246e-02	  3.5137e-02	  1.3633e+00	  2.8049e+00	  7.5905e+00	
  3.0000e+00	  7.0000e+01	  8.0000e+00	  1.0263e-01	  7.4651e-02	  1.1973e-01	  1.2676e+00	  2.8019e+00	  7.6227e+00	
  4.0000e+00	  7.0000e+01	  1.1200e+01	  1.0606e-01	  1.0305e-01	  2.5625e-01	  1.1128e+00	  2.7971e+00	  7.6802e+00	
  5.0000e+00	  7.0000e+01	  1.4400e+01	  1.1381e-01	  1.5550e-01	  4.5978e-01	  8.7397e-01	  2.7868e+00	  7.7874e+00	
  6.0000e+00	  7.0000e+01	  1.7600e+01	  1.2853e-01	  2.2533e-01	  6.1254e-01	  6.6905e-01	  2.7670e+00	  7.9072e+00	
  7.0000e+00	  7.0000e+01	  2.0800e+01	  1.5501e-01	  3.0257e-01	  6.6010e-01	  5.5160e-01	  2.7310e+00	  7.9966e+00	
