tc	Ca
0	14.35
0	14.04
0	13.4
0	13.01
3	13.4
4	13.27
3	13.14
10	12.01
10	11.85
15	11.23
15	11.02
25	9.17
26	9.04
24	8.62
23	8.55
35	7.51
38	7.25
38	5.89
41	5.68
42	5.01
44	4.85
45	6.22
52	5.63
53	5.55
55	5.27
55	5.11
58	4.93
54	4
54	3.92
65	4.36
66	4.26
61	3.85
61	3.77
61	3.64
72	3.61
74	3.41
75	3.28
70	2.99
71	2.76
80	2.74
81	2.66
84	2.4
89	2.09
90	1.91
94	2.14
100	2.3
100	2.14
101	1.99
101	1.86
104	1.73
114	1.73
125	1.39
128	1.37
131	1.29
150	0.93
154	0.88
174	0.65
175	0.59
182	0.54
200	0.39
201	0.44
217	0.34
226	0.28
236	0.23
241	0.18
250	0.15
270	0.05
275	0.08
281	0.05
300	0.05
