              dist_x	                temp	                  Na	                   K	                  Cl	
                 -99	  2.400000000000e+01	  2.400000000000e-02	  0.000000000000e+00	  2.400000000000e-02	
                 -99	  2.400000000000e+01	  2.400000000000e-02	  0.000000000000e+00	  2.400000000000e-02	
                 -99	  2.400000000000e+01	  2.400000000000e-02	  0.000000000000e+00	  2.400000000000e-02	
                 0.5	  0.000000000000e+00	  0.000000000000e+00	  2.400000000000e-02	  0.000000000000e+00	
                 1.5	  0.000000000000e+00	  0.000000000000e+00	  2.400000000000e-02	  0.000000000000e+00	
                 2.5	  0.000000000000e+00	  0.000000000000e+00	  2.400000000000e-02	  0.000000000000e+00	
                 3.5	  0.000000000000e+00	  0.000000000000e+00	  2.400000000000e-02	  0.000000000000e+00	
                 4.5	  0.000000000000e+00	  0.000000000000e+00	  2.400000000000e-02	  0.000000000000e+00	
                 5.5	  0.000000000000e+00	  0.000000000000e+00	  2.400000000000e-02	  0.000000000000e+00	
                 6.5	  0.000000000000e+00	  0.000000000000e+00	  2.400000000000e-02	  0.000000000000e+00	
                 7.5	  0.000000000000e+00	  0.000000000000e+00	  2.400000000000e-02	  0.000000000000e+00	
                 8.5	  0.000000000000e+00	  0.000000000000e+00	  2.400000000000e-02	  0.000000000000e+00	
                 9.5	  0.000000000000e+00	  0.000000000000e+00	  2.400000000000e-02	  0.000000000000e+00	
                10.5	  0.000000000000e+00	  0.000000000000e+00	  2.400000000000e-02	  0.000000000000e+00	
                11.5	  0.000000000000e+00	  0.000000000000e+00	  2.400000000000e-02	  0.000000000000e+00	
                12.5	  0.000000000000e+00	  0.000000000000e+00	  2.400000000000e-02	  0.000000000000e+00	
                13.5	  0.000000000000e+00	  0.000000000000e+00	  2.400000000000e-02	  0.000000000000e+00	
                14.5	  0.000000000000e+00	  0.000000000000e+00	  2.400000000000e-02	  0.000000000000e+00	
                15.5	  0.000000000000e+00	  0.000000000000e+00	  2.400000000000e-02	  0.000000000000e+00	
                16.5	  0.000000000000e+00	  0.000000000000e+00	  2.400000000000e-02	  0.000000000000e+00	
                17.5	  0.000000000000e+00	  0.000000000000e+00	  2.400000000000e-02	  0.000000000000e+00	
                18.5	  0.000000000000e+00	  0.000000000000e+00	  2.400000000000e-02	  0.000000000000e+00	
                19.5	  2.400000000000e+01	  2.400000000000e-02	  0.000000000000e+00	  2.400000000000e-02	
                 0.5	  1.686181418415e+01	  1.686181416249e-02	  7.138185829105e-03	  2.011377529317e-02	
                 1.5	  6.421492325960e+00	  6.421492235306e-03	  1.757850775130e-02	  1.294968671943e-02	
                 2.5	  1.759908541854e+00	  1.759908480253e-03	  2.224009150997e-02	  7.342808261315e-03	
                 3.5	  3.571924631562e-01	  3.571924426717e-04	  2.364280755207e-02	  3.623408283685e-03	
                 4.5	  5.490209781370e-02	  5.490209345114e-05	  2.394509790424e-02	  1.538555967130e-03	
                 5.5	  6.484238380348e-03	  6.484237722742e-06	  2.399351576143e-02	  5.556625533108e-04	
                 6.5	  5.926340095484e-04	  5.926339363839e-07	  2.399940736581e-02	  1.684990632467e-04	
                 7.5	  4.190926756604e-05	  4.190926146047e-08	  2.399995809067e-02	  4.224784404201e-05	
                 8.5	  2.276345750780e-06	  2.276345368057e-09	  2.399999772364e-02	  8.664946370886e-06	
                 9.5	  1.396593677778e-07	  1.396593412013e-10	  2.399999986034e-02	  2.055609847091e-06	
                10.5	  1.138869021831e-06	  1.138868831103e-09	  2.399999886112e-02	  4.374443607422e-06	
                11.5	  2.090811414205e-05	  2.090811110230e-08	  2.399997909186e-02	  2.044715368546e-05	
                12.5	  2.951795282278e-04	  2.951794917247e-07	  2.399970482039e-02	  7.995922685932e-05	
                13.5	  3.221164570742e-03	  3.221164241409e-06	  2.399677883537e-02	  2.567109777338e-04	
                14.5	  2.715473190226e-02	  2.715472969858e-05	  2.397284526927e-02	  6.850286499841e-04	
                15.5	  1.753541123879e-01	  1.753541017841e-04	  2.382464589598e-02	  1.533872870597e-03	
                16.5	  8.525032220200e-01	  8.525031874197e-04	  2.314749680866e-02	  2.902126148040e-03	
                17.5	  3.032149931402e+00	  3.032149861431e-03	  2.096785013342e-02	  4.663139220091e-03	
                18.5	  7.550952821146e+00	  7.550952733333e-03	  1.644904726268e-02	  6.385483516897e-03	
                19.5	  1.235834674495e+01	  1.235834663654e-02	  1.164165336299e-02	  7.468268986414e-03	
