      dist_x	          Cl	          Na	
        0.05	  9.6495e-04	  8.8504e-04	
        0.15	  9.1812e-04	  6.9360e-04	
        0.25	  8.4451e-04	  4.3288e-04	
        0.35	  7.1652e-04	  1.9734e-04	
        0.45	  4.9952e-04	  6.0705e-05	
        0.55	  2.4048e-04	  1.1785e-05	
        0.65	  7.2812e-05	  1.4039e-06	
        0.75	  1.3132e-05	  9.9324e-08	
        0.85	  1.2882e-06	  3.8318e-09	
        0.95	  5.2940e-08	  6.2140e-11	
        1.05	  0.0000e+00	  0.0000e+00	
        1.15	  0.0000e+00	  0.0000e+00	
        1.25	  0.0000e+00	  0.0000e+00	
        1.35	  0.0000e+00	  0.0000e+00	
        1.45	  0.0000e+00	  0.0000e+00	
        1.55	  0.0000e+00	  0.0000e+00	
        1.65	  0.0000e+00	  0.0000e+00	
        1.75	  0.0000e+00	  0.0000e+00	
        1.85	  0.0000e+00	  0.0000e+00	
        1.95	  0.0000e+00	  0.0000e+00	
        0.05	  7.5889e-06	  2.0250e-05	
        0.15	  1.7993e-05	  5.0943e-05	
        0.25	  3.3135e-05	  1.0209e-04	
        0.35	  5.3591e-05	  1.7480e-04	
        0.45	  8.0158e-05	  2.5484e-04	
        0.55	  1.1396e-04	  3.1308e-04	
        0.65	  1.5767e-04	  3.2277e-04	
        0.75	  2.1666e-04	  2.7968e-04	
        0.85	  2.9573e-04	  2.0468e-04	
        0.95	  3.8769e-04	  1.2726e-04	
        1.05	  4.6467e-04	  6.7581e-05	
        1.15	  4.9243e-04	  3.0745e-05	
        1.25	  4.5811e-04	  1.1988e-05	
        1.35	  3.7620e-04	  3.9981e-06	
        1.45	  2.7323e-04	  1.1366e-06	
        1.55	  1.7416e-04	  2.7440e-07	
        1.65	  9.6074e-05	  5.6038e-08	
        1.75	  4.5211e-05	  9.6477e-09	
        1.85	  1.7934e-05	  1.3954e-09	
        1.95	  6.4869e-06	  1.7678e-10	
