         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	          Ca	        C(4)	        S(6)	  si_calcite	   si_pyrite	
           1	      transp	           1	         0.5	           0	           0	     4.90992	       16.09	  0.0000e+00	  3.5280e-04	  0.0000e+00	   -999.9990	   -999.9990	
           1	      transp	           2	         1.5	           0	           0	     4.90992	       16.09	  0.0000e+00	  3.5280e-04	  0.0000e+00	   -999.9990	   -999.9990	
           1	      transp	           1	         0.5	        3600	           1	     8.52813	     12.4718	  3.6988e-04	  7.2277e-04	  3.4566e-12	      0.0009	   -272.7341	
           1	      transp	           2	         1.5	        3600	           1	     8.52537	     12.4746	  3.7052e-04	  7.2418e-04	  3.4674e-13	     -0.0003	   -275.7184	
           1	      transp	           1	         0.5	        7200	           2	     8.52828	     12.4717	  3.6998e-04	  7.2295e-04	  7.1159e-12	      0.0012	   -271.7940	
           1	      transp	           2	         1.5	        7200	           2	     8.52352	     12.4764	  3.7131e-04	  7.2582e-04	  7.1240e-13	     -0.0003	   -274.7725	
           1	      transp	           1	         0.5	       10800	           3	     8.52737	     12.4726	  3.7001e-04	  7.2307e-04	  1.0775e-11	      0.0005	   -271.2496	
           1	      transp	           2	         1.5	       10800	           3	     8.52167	     12.4782	  3.7210e-04	  7.2746e-04	  1.0779e-12	     -0.0003	   -274.2253	
           1	      transp	           1	         0.5	       14400	           4	     8.53075	     12.4692	  3.7031e-04	  7.2345e-04	  1.4434e-11	      0.0043	   -270.8831	
           1	      transp	           2	         1.5	       14400	           4	     8.51974	     12.4802	  3.7288e-04	  7.2910e-04	  1.4431e-12	     -0.0004	   -273.8369	
           1	      transp	           1	         0.5	       18000	           5	     8.52878	     12.4712	  3.7028e-04	  7.2351e-04	  1.8093e-11	      0.0024	   -270.5804	
           1	      transp	           2	         1.5	       18000	           5	     8.51798	     12.4819	  3.7367e-04	  7.3074e-04	  1.8082e-12	     -0.0003	   -273.5357	
