        dist	      H2O_aq	     H2O_edl	     H2O_tot	          Na	          Ca	          Cl	          pH	
  5.0000e-10	  3.0000e-01	  9.0259e-02	  3.9026e-01	  1.0000e+00	  0.0000e+00	  1.0000e+00	  7.0000e+00	
  1.5000e-09	  3.0000e-01	  9.0259e-02	  3.9026e-01	  1.0000e+00	  0.0000e+00	  1.0000e+00	  7.0000e+00	
  2.5000e-09	  3.0000e-01	  9.0259e-02	  3.9026e-01	  1.0000e+00	  0.0000e+00	  1.0000e+00	  7.0000e+00	
  3.5000e-09	  3.0000e-01	  9.0259e-02	  3.9026e-01	  1.0000e+00	  0.0000e+00	  1.0000e+00	  7.0000e+00	
  4.5000e-09	  3.0000e-01	  9.0259e-02	  3.9026e-01	  1.0000e+00	  0.0000e+00	  1.0000e+00	  7.0000e+00	
  5.5000e-09	  3.0000e-01	  9.0259e-02	  3.9026e-01	  1.0000e+00	  0.0000e+00	  1.0000e+00	  7.0000e+00	
  6.5000e-09	  3.0000e-01	  9.0259e-02	  3.9026e-01	  1.0000e+00	  0.0000e+00	  1.0000e+00	  7.0000e+00	
  7.5000e-09	  3.0000e-01	  9.0259e-02	  3.9026e-01	  1.0000e+00	  0.0000e+00	  1.0000e+00	  7.0000e+00	
  8.5000e-09	  3.0000e-01	  9.0259e-02	  3.9026e-01	  1.0000e+00	  0.0000e+00	  1.0000e+00	  7.0000e+00	
  9.5000e-09	  3.0000e-01	  9.0259e-02	  3.9026e-01	  1.0000e+00	  0.0000e+00	  1.0000e+00	  7.0000e+00	
  5.0000e-10	  2.2649e-01	  1.6377e-01	  3.9026e-01	  2.6584e-01	  0.0000e+00	  2.6770e-01	  5.7366e+00	
  1.5000e-09	  2.8153e-01	  1.0873e-01	  3.9026e-01	  6.6679e-01	  0.0000e+00	  6.6916e-01	  5.6364e+00	
  2.5000e-09	  2.9432e-01	  9.5942e-02	  3.9026e-01	  8.7565e-01	  0.0000e+00	  8.7728e-01	  5.7997e+00	
  3.5000e-09	  2.9840e-01	  9.1861e-02	  3.9026e-01	  9.6214e-01	  0.0000e+00	  9.6311e-01	  6.0215e+00	
  4.5000e-09	  2.9961e-01	  9.0647e-02	  3.9026e-01	  9.9039e-01	  0.0000e+00	  9.9095e-01	  6.2563e+00	
  5.5000e-09	  2.9992e-01	  9.0338e-02	  3.9026e-01	  9.9789e-01	  0.0000e+00	  9.9820e-01	  6.4798e+00	
  6.5000e-09	  2.9999e-01	  9.0272e-02	  3.9026e-01	  9.9956e-01	  0.0000e+00	  9.9973e-01	  6.6714e+00	
  7.5000e-09	  3.0000e-01	  9.0261e-02	  3.9026e-01	  9.9990e-01	  0.0000e+00	  9.9999e-01	  6.8132e+00	
  8.5000e-09	  3.0000e-01	  9.0259e-02	  3.9026e-01	  9.9997e-01	  0.0000e+00	  1.0000e+00	  6.8999e+00	
  9.5000e-09	  3.0000e-01	  9.0259e-02	  3.9026e-01	  9.9999e-01	  0.0000e+00	  1.0000e+00	  6.9389e+00	
