      H2O_aq	      H2O_Su	     H2O_Hfo	     H2O_tot	  newH2O_tot	          Na	          Cl	          pH	
  1.0000e+00	  0.0000e+00	  0.0000e+00	  1.0000e+00	  5.0000e-01	  1.0000e+00	  1.0000e+00	  7.0000e+00	
  1.0000e+00	  9.3956e-02	  5.6374e-03	  1.0996e+00	  5.9959e-01	  1.0000e+00	  1.0000e+00	  7.0000e+00	
  1.0000e+00	  9.3956e-02	  5.6374e-03	  1.0996e+00	  5.9959e-01	  1.0000e+00	  1.0000e+00	  7.0000e+00	
  5.0181e-01	  9.2248e-02	  5.5349e-03	  5.9959e-01	  3.4869e-01	  9.9656e-01	  9.9655e-01	  6.9997e+00	
  2.5360e-01	  8.9706e-02	  5.3823e-03	  3.4869e-01	  2.2189e-01	  9.8670e-01	  9.8670e-01	  6.9989e+00	
  1.3019e-01	  8.6506e-02	  5.1904e-03	  2.2189e-01	  1.5679e-01	  9.6392e-01	  9.6392e-01	  6.9970e+00	
  6.8646e-02	  8.3157e-02	  4.9894e-03	  1.5679e-01	  1.2247e-01	  9.2354e-01	  9.2354e-01	  6.9940e+00	
  3.7516e-02	  8.0145e-02	  4.8087e-03	  1.2247e-01	  1.0371e-01	  8.6899e-01	  8.6898e-01	  6.9906e+00	
  2.1381e-02	  7.7670e-02	  4.6602e-03	  1.0371e-01	  9.3021e-02	  8.1060e-01	  8.1057e-01	  6.9879e+00	
  1.8604e-02	  7.0204e-02	  4.2123e-03	  9.3021e-02	  8.3719e-02	  6.4839e-01	  6.4839e-01	  6.9886e+00	
  1.6744e-02	  6.3184e-02	  3.7910e-03	  8.3719e-02	  7.5347e-02	  5.3641e-01	  5.3646e-01	  7.0000e+00	
  1.5069e-02	  5.6866e-02	  3.4119e-03	  7.5347e-02	  6.7812e-02	  4.5884e-01	  4.5886e-01	  7.0164e+00	
  1.3562e-02	  5.1179e-02	  3.0707e-03	  6.7812e-02	  6.1031e-02	  4.0235e-01	  4.0242e-01	  7.0348e+00	
  1.2206e-02	  4.6061e-02	  2.7637e-03	  6.1031e-02	  5.4928e-02	  3.5973e-01	  3.5967e-01	  7.0536e+00	
  1.0986e-02	  4.1455e-02	  2.4873e-03	  5.4928e-02	  4.9435e-02	  3.2654e-01	  3.2657e-01	  7.0720e+00	
  9.8870e-03	  3.7309e-02	  2.2386e-03	  4.9435e-02	  4.4492e-02	  3.0021e-01	  3.0011e-01	  7.0895e+00	
  8.8983e-03	  3.3579e-02	  2.0147e-03	  4.4492e-02	  4.0042e-02	  2.7890e-01	  2.7871e-01	  7.1059e+00	
