        days	       J_hto	        J_sr	        J_na	        J_cl	          EB	

     analyt	  6.9396e-07	  3.5721e-05	  3.8504e-06	  3.8134e-07
	
  5.7870e+04	  9.6752e-08	  4.9805e-06	  5.3684e-07	  5.3173e-08	  5.7150e-07	
  1.1574e+05	  4.7146e-07	  2.4270e-05	  2.6160e-06	  2.5911e-07	  3.2131e-06	
  1.7361e+05	  6.3007e-07	  3.2435e-05	  3.4960e-06	  3.4630e-07	  6.3567e-06	
  2.3148e+05	  6.7574e-07	  3.4787e-05	  3.7494e-06	  3.7141e-07	  9.6162e-06	
  2.8935e+05	  6.8876e-07	  3.5459e-05	  3.8218e-06	  3.7859e-07	  1.2906e-05	
  3.4722e+05	  6.9248e-07	  3.5651e-05	  3.8424e-06	  3.8065e-07	  1.6202e-05	
  4.0509e+05	  6.9354e-07	  3.5707e-05	  3.8483e-06	  3.8125e-07	  1.9501e-05	
  4.6296e+05	  6.9384e-07	  3.5723e-05	  3.8500e-06	  3.8143e-07	  2.2798e-05	
  5.2083e+05	  6.9393e-07	  3.5728e-05	  3.8505e-06	  3.8148e-07	  2.6096e-05	
  5.7870e+05	  6.9395e-07	  3.5729e-05	  3.8506e-06	  3.8150e-07	  2.9393e-05	
  6.3657e+05	  6.9396e-07	  3.5730e-05	  3.8507e-06	  3.8150e-07	  3.2689e-05	

     analyt	  6.9396e-07	  3.5721e-05	  3.8504e-06	  3.8134e-07
	
  5.7870e+04	  1.0720e-07	  5.4963e-06	  5.9369e-07	  5.8868e-08	  7.1545e-07	
  1.1574e+05	  4.9744e-07	  2.5489e-05	  2.7540e-06	  2.7312e-07	  3.4412e-06	
  1.7361e+05	  6.4408e-07	  3.2988e-05	  3.5652e-06	  3.5360e-07	  6.6187e-06	
  2.3148e+05	  6.8137e-07	  3.4889e-05	  3.7711e-06	  3.7405e-07	  9.9248e-06	
  2.8935e+05	  6.9078e-07	  3.5367e-05	  3.8230e-06	  3.7920e-07	  1.3220e-05	
  3.4722e+05	  6.9316e-07	  3.5485e-05	  3.8360e-06	  3.8050e-07	  1.6520e-05	
  4.0509e+05	  6.9376e-07	  3.5515e-05	  3.8392e-06	  3.8083e-07	  1.9821e-05	
  4.6296e+05	  6.9391e-07	  3.5522e-05	  3.8400e-06	  3.8091e-07	  2.3123e-05	
  5.2083e+05	  6.9395e-07	  3.5523e-05	  3.8402e-06	  3.8093e-07	  2.6424e-05	
  5.7870e+05	  6.9396e-07	  3.5524e-05	  3.8403e-06	  3.8093e-07	  2.9725e-05	
  6.3657e+05	  6.9396e-07	  3.5524e-05	  3.8403e-06	  3.8093e-07	  3.3026e-05	
