        conc	    eq_EC_25	
  5.0000e-04	  1.4715e+02	
  1.0000e-03	  1.4629e+02	
  5.0000e-03	  1.4307e+02	
  1.0000e-02	  1.4090e+02	
  2.0000e-02	  1.3811e+02	
  5.0000e-02	  1.3337e+02	
  1.0000e-01	  1.2897e+02	
  5.0000e-04	  1.2374e+02	
  1.0000e-03	  1.2292e+02	
  5.0000e-03	  1.1985e+02	
  1.0000e-02	  1.1777e+02	
  2.0000e-02	  1.1509e+02	
  5.0000e-02	  1.1047e+02	
  1.0000e-01	  1.0609e+02	
  5.0000e-04	  4.2015e+02	
  1.0000e-03	  4.1885e+02	
  5.0000e-03	  4.1376e+02	
  1.0000e-02	  4.1030e+02	
  2.0000e-02	  4.0575e+02	
  5.0000e-02	  3.9735e+02	
  1.0000e-01	  3.8824e+02	
  5.0000e-04	  1.3134e+02	
  1.0000e-03	  1.2985e+02	
  5.0000e-03	  1.2432e+02	
  1.0000e-02	  1.2078e+02	
  2.0000e-02	  1.1641e+02	
  5.0000e-02	  1.0944e+02	
  1.0000e-01	  1.0338e+02	
  5.0000e-04	  1.2493e+02	
  1.0000e-03	  1.2346e+02	
  5.0000e-03	  1.1805e+02	
  1.0000e-02	  1.1456e+02	
  2.0000e-02	  1.1025e+02	
  5.0000e-02	  1.0330e+02	
  1.0000e-01	  9.7187e+01	
  5.0000e-04	  1.2567e+02	
  1.0000e-03	  1.2403e+02	
  5.0000e-03	  1.1782e+02	
  1.0000e-02	  1.1371e+02	
  2.0000e-02	  1.0859e+02	
  5.0000e-02	  1.0027e+02	
  1.0000e-01	  9.2871e+01	
  4.9711e-04	  1.2239e+02	
  9.9458e-04	  1.1735e+02	
  4.9790e-03	  9.9246e+01	
  9.9641e-03	  8.9550e+01	
  1.9941e-02	  7.9810e+01	
  4.9888e-02	  6.8161e+01	
  9.9823e-02	  6.0884e+01	

  4.9995e-04	  1.6040e+02	
  9.9990e-04	  1.5758e+02	
  4.9995e-03	  1.4697e+02	
  9.9990e-03	  1.4012e+02	
  1.9998e-02	  1.3171e+02	
  4.9995e-02	  1.1837e+02	
  9.9990e-02	  1.0699e+02	
