           x	          pH	          pe	          O2	           A	          A+	          A-	     water-1	












  0.0000e+00	  7.0000e+00	  4.0000e+00	  0.0000e+00	  1.0000e+00	  1.0000e+01	  1.0000e+01	  0.0000e+00	
  1.5000e-01	  7.0000e+00	  1.2341e+01	  1.9128e-06	  9.9645e-01	  9.9645e+00	  9.9645e+00	 -1.3889e-12	
  4.5000e-01	  6.9998e+00	  1.2332e+01	  1.7634e-06	  9.8121e-01	  9.8121e+00	  9.8121e+00	 -3.4343e-12	
  7.5000e-01	  6.9992e+00	  1.2322e+01	  1.6033e-06	  9.3148e-01	  9.3148e+00	  9.3148e+00	 -1.6366e-11	
  1.0500e+00	  6.9999e+00	  1.2310e+01	  1.4352e-06	  8.1427e-01	  8.1427e+00	  8.1427e+00	 -5.3797e-11	
  1.3500e+00	  7.0014e+00	  1.2293e+01	  1.2534e-06	  6.1515e-01	  6.1514e+00	  6.1514e+00	 -4.7451e-10	
  1.6500e+00	  6.9997e+00	  1.2279e+01	  1.0819e-06	  3.7796e-01	  3.7796e+00	  3.7796e+00	  2.6409e-10	
  1.9500e+00	  6.9946e+00	  1.2276e+01	  1.0001e-06	  1.8385e-01	  1.8385e+00	  1.8385e+00	 -3.3691e-12	
  2.2500e+00	  6.9969e+00	  1.2278e+01	  1.0499e-06	  7.0850e-02	  7.0849e-01	  7.0849e-01	  1.7758e-11	
  2.5500e+00	  6.9987e+00	  1.2286e+01	  1.1439e-06	  2.1982e-02	  2.1981e-01	  2.1981e-01	  8.2176e-12	
  2.8500e+00	  6.9966e+00	  1.2292e+01	  1.1860e-06	  6.3400e-03	  6.3391e-02	  6.3392e-02	  1.7809e-11	
  3.0000e+00	  6.9974e+00	  4.0000e+00	  0.0000e+00	  1.0000e-06	  1.0000e-06	  1.0000e-06	  0.0000e+00	














  0.0000e+00	  7.0000e+00	  4.0000e+00	  0.0000e+00	  1.0000e+00	  1.0000e+01	  1.0000e+01	  0.0000e+00	
  1.5000e-01	  7.0000e+00	 -1.6882e+00	  0.0000e+00	  9.9987e-01	  9.9987e+00	  9.9987e+00	 -1.3323e-14	
  4.5000e-01	  7.0000e+00	  1.1473e+01	  6.4640e-10	  9.9730e-01	  9.9730e+00	  9.9730e+00	 -2.7933e-13	
  7.5000e-01	  6.9999e+00	  1.1619e+01	  2.4872e-09	  9.7608e-01	  9.7608e+00	  9.7608e+00	 -2.4629e-12	
  1.0500e+00	  6.9997e+00	  1.1325e+01	  1.6450e-10	  8.8349e-01	  8.8349e+00	  8.8349e+00	 -1.1705e-11	
  1.3500e+00	  6.9990e+00	  1.1212e+01	  5.7751e-11	  6.5586e-01	  6.5586e+00	  6.5586e+00	 -3.1990e-11	
  1.6500e+00	  6.9982e+00	  1.1240e+01	  7.4648e-11	  3.4414e-01	  3.4414e+00	  3.4414e+00	 -5.0519e-11	
  1.9500e+00	  6.9976e+00	 -1.2510e+00	  0.0000e+00	  1.1651e-01	  1.1651e+00	  1.1651e+00	 -4.6893e-11	
  2.2500e+00	  6.9974e+00	 -1.4914e+00	  0.0000e+00	  2.3921e-02	  2.3920e-01	  2.3920e-01	 -2.7074e-11	
  2.5500e+00	  6.9974e+00	  1.0922e+01	  3.9455e-12	  2.7016e-03	  2.7007e-02	  2.7007e-02	 -9.8180e-12	
  2.8500e+00	  6.9974e+00	  1.0830e+01	  1.6931e-12	  1.2960e-04	  1.2870e-03	  1.2870e-03	 -1.8010e-12	
  3.0000e+00	  6.9974e+00	  4.0000e+00	  0.0000e+00	  1.0000e-06	  1.0000e-06	  1.0000e-06	  0.0000e+00	
