                dist	                  pH	                  pe	                  O2	                   A	                 Fe2	                 Fe3	               water	












  0.000000000000e+00	  7.212898650267e+00	  4.000000000000e+00	  0.000000000000e+00	  1.000000000000e+00	  4.066826439039e-01	  5.933173561843e-01	  0.000000000000e+00	
  5.000000000000e-01	  7.198923853133e+00	  4.024786795448e+00	  0.000000000000e+00	  8.329852290293e-01	  3.482789168488e-01	  4.988681619045e-01	 -4.584218560311e-10	
  1.500000000000e+00	  7.159901644767e+00	  4.095690802814e+00	  0.000000000000e+00	  5.281616515431e-01	  2.394738755782e-01	  3.252956074062e-01	 -2.082456984631e-09	
  2.500000000000e+00	  7.106371778549e+00	  4.194569112589e+00	  0.000000000000e+00	  2.956781589660e-01	  1.506156343399e-01	  1.899825948771e-01	 -2.584943259443e-09	
  3.500000000000e+00	  7.039869913732e+00	  4.318336942930e+00	  0.000000000000e+00	  1.461030249933e-01	  8.653270702705e-02	  9.955949968532e-02	 -2.718311242766e-09	
  4.500000000000e+00	  6.963282258185e+00	  4.460897873364e+00	  0.000000000000e+00	  6.393924285363e-02	  4.543732140431e-02	  4.706861448190e-02	 -2.674017562931e-09	
  5.500000000000e+00	  6.882503178846e+00	  4.608878441568e+00	  0.000000000000e+00	  2.491648131517e-02	  2.184093509429e-02	  2.021831846327e-02	 -2.674099497391e-09	
  6.500000000000e+00	  6.812149702427e+00	  4.728062711803e+00	  1.204607554990e-37	  8.699604205112e-03	  9.629660874289e-03	  7.946189759504e-03	 -2.798770659673e-09	
  7.500000000000e+00	  6.779897745895e+00	  4.754299043671e+00	  1.139686833464e-37	  2.736995425366e-03	  3.889698855715e-03	  2.867056895840e-03	 -2.232870222052e-09	
  8.500000000000e+00	  6.817033113853e+00	  4.615948693378e+00	  0.000000000000e+00	  7.716932753943e-04	  1.403394457018e-03	  9.328326989667e-04	 -3.835978201749e-10	
  9.500000000000e+00	  6.950895327546e+00	  4.245037065642e+00	  0.000000000000e+00	  1.551773726308e-04	  3.415381330120e-04	  2.096773891986e-04	  1.997155107958e-09	
  1.000000000000e+01	  6.997375705926e+00	  4.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	














  0.000000000000e+00	  7.212898650241e+00	  4.000000000000e+00	  0.000000000000e+00	  1.000000000000e+00	  4.066826439057e-01	  5.933173560943e-01	  0.000000000000e+00	
  5.000000000000e-01	  7.211497057151e+00	  3.998470979627e+00	  0.000000000000e+00	  8.369182663984e-01	  3.403601333381e-01	  4.965581330606e-01	  1.082713918521e-10	
  1.500000000000e+00	  7.208377363829e+00	  3.995338358920e+00	  0.000000000000e+00	  5.367366224626e-01	  2.182814687401e-01	  3.184551537222e-01	  3.073983290136e-10	
  2.500000000000e+00	  7.204962022255e+00	  3.992728938283e+00	  0.000000000000e+00	  3.028103645646e-01	  1.231477197026e-01	  1.796626448618e-01	  4.619844506948e-10	
  3.500000000000e+00	  7.201197255482e+00	  3.991957272262e+00	  0.000000000000e+00	  1.486238895313e-01	  6.044275639229e-02	  8.818113313897e-02	  5.621056953231e-10	
  4.500000000000e+00	  7.196266749805e+00	  3.996107115728e+00	  0.000000000000e+00	  6.283433746837e-02	  2.555363450720e-02	  3.728070296117e-02	  6.124496465532e-10	
  5.500000000000e+00	  7.186960682834e+00	  4.014176029696e+00	  0.000000000000e+00	  2.266274478007e-02	  9.216544988792e-03	  1.344619979128e-02	  6.190501444792e-10	
  6.500000000000e+00	  7.163357874313e+00	  4.072454941193e+00	  0.000000000000e+00	  6.902416412881e-03	  2.807092973442e-03	  4.095323439442e-03	  5.672693426106e-10	
  7.500000000000e+00	  7.108495381517e+00	  4.214687965009e+00	  0.000000000000e+00	  1.754442047624e-03	  7.135011186578e-04	  1.040940928968e-03	  4.060383140825e-10	
  8.500000000000e+00	  7.039477791210e+00	  4.393268165882e+00	  0.000000000000e+00	  3.659964758760e-04	  1.488444231179e-04	  2.171520527585e-04	  1.663693627307e-10	
  9.500000000000e+00	  7.004957044699e+00	  4.481650568510e+00	  0.000000000000e+00	  5.368253842461e-05	  2.183175229133e-05	  3.185078613339e-05	  3.112332613853e-11	
  1.000000000000e+01	  6.997375705860e+00	  4.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
