        dist	       Ca/Na	     Cl/S(6)	         H2S	          pH	          pe	          cb	










  2.0000e-03	  1.8533e+00	  9.2665e-01	  0.0000e+00	  7.0015e+00	  1.0920e+01	 -1.0614e-13	
  6.0000e-03	  1.5628e+00	  7.8138e-01	  0.0000e+00	  7.0041e+00	  1.0982e+01	 -1.5543e-14	
  1.0000e-02	  1.2840e+00	  6.4198e-01	  0.0000e+00	  7.0055e+00	  1.0986e+01	  1.7764e-15	
  1.4000e-02	  1.0253e+00	  5.1266e-01	  0.0000e+00	  7.0054e+00	  1.1041e+01	 -1.1102e-16	
  1.8000e-02	  7.9311e-01	  3.9655e-01	  0.0000e+00	  7.0033e+00	  1.1005e+01	  2.9976e-15	
  2.2000e-02	  5.9076e-01	  2.9538e-01	  0.0000e+00	  6.9990e+00	  1.1067e+01	  3.3307e-16	
  2.6000e-02	  4.1847e-01	  2.0924e-01	  0.0000e+00	  6.9924e+00	  1.1140e+01	  5.5511e-16	
  3.0000e-02	  2.7334e-01	  1.3667e-01	  0.0000e+00	  6.9839e+00	  1.1224e+01	  8.3267e-17	
  3.4000e-02	  1.4999e-01	  7.4997e-02	  0.0000e+00	  6.9760e+00	  1.1345e+01	  5.1348e-16	
  3.8000e-02	  4.2562e-02	  2.1281e-02	  0.0000e+00	  6.9807e+00	  1.1106e+01	 -1.8041e-16	












  2.0000e-03	  1.8021e+00	  9.0104e-01	  0.0000e+00	  7.0305e+00	  1.1479e+01	 -2.2204e-16	
  6.0000e-03	  1.4182e+00	  7.0911e-01	  0.0000e+00	  7.0874e+00	  1.1405e+01	 -1.1102e-16	
  1.0000e-02	  1.0681e+00	  5.3404e-01	  0.0000e+00	  7.1345e+00	  1.1340e+01	  1.1102e-16	
  1.4000e-02	  7.6771e-01	  3.8386e-01	  0.0000e+00	  7.1683e+00	  1.1289e+01	  1.6653e-16	
  1.8000e-02	  5.2536e-01	  2.6268e-01	  0.0000e+00	  7.1870e+00	  1.1256e+01	  2.2204e-16	
  2.2000e-02	  3.4134e-01	  1.7067e-01	  0.0000e+00	  7.1907e+00	  1.1240e+01	  2.2204e-16	
  2.6000e-02	  2.0955e-01	  1.0477e-01	  0.0000e+00	  7.1807e+00	  1.1240e+01	  4.1633e-16	
  3.0000e-02	  1.1978e-01	  5.9892e-02	  0.0000e+00	  7.1587e+00	  1.1244e+01	  4.0246e-16	
  3.4000e-02	  6.0047e-02	  3.0023e-02	  0.0000e+00	  7.1248e+00	  1.1261e+01	  3.6082e-16	
  3.8000e-02	  1.8067e-02	  9.0333e-03	  0.0000e+00	  7.0676e+00	  1.1291e+01	  1.4225e-16	
