days	22Na
0	9.93E-12
0.958333333	1.00E-11
1.958333333	9.94E-12
2.958333333	9.79E-12
3.958333333	9.58E-12
6.958333333	9.51E-12
7.958333333	9.37E-12
8.958333333	9.42E-12
9.958333333	9.47E-12
10.95833333	9.33E-12
13.95833333	9.15E-12
15.95833333	9.03E-12
17.95833333	9.01E-12
20.95833333	8.88E-12
22.95833333	8.76E-12
27.79166667	8.72E-12
34.79166667	8.45E-12
41.79166667	8.15E-12
48.79166667	7.91E-12
57.79166667	7.80E-12
63.79166667	7.47E-12
71.79166667	7.39E-12
78.83333333	7.22E-12
85.83333333	7.10E-12
92.91666667	6.96E-12
99.73611111	6.81E-12
106.75	6.69E-12
113.75	6.55E-12
120.6666667	6.42E-12
125.71875	6.53E-12
125.71875	6.41E-12
125.71875	6.39E-12
126.7083333	6.31E-12
