pb	26.8	56.8	76.8	96.8
51	0.762	0.827	0.860	0.882
61	0.713	0.795	0.833	0.861
66	0.688	0.779	0.822	0.852
71	0.652	0.763	0.807	0.840
76	0.616	0.747	0.794	0.827
82	0.585	0.729	0.780	0.818
92	0.531	0.698	0.755	0.795
100	0.489	0.665	0.731	0.776
150	0.360	0.523	0.617	0.682
200	0.298	0.440	0.532	0.606
250	0.263	0.390	0.476	0.553
300	0.239	0.360	0.439	0.517
350	0.224	0.338	0.415	0.487
400	0.215	0.324	0.398	0.470
450	0.209	0.315	0.389	0.457
500	0.204	0.309	0.381	0.450
550	0.203	0.305	0.376	0.445
600	0.203	0.303	0.375	0.443
