        cell	       shift	        dist	          Na	           K	          Mg	          Ca	         Alk	          pH	
 1.0000e+000	 0.0000e+000	 1.6000e+000	 1.0000e-001	 5.0000e-002	 0.0000e+000	 1.4003e+000	 2.8006e+000	 7.5708e+000	
 2.0000e+000	 0.0000e+000	 4.8000e+000	 1.0000e-001	 5.0000e-002	 0.0000e+000	 1.4003e+000	 2.8006e+000	 7.5708e+000	
 3.0000e+000	 0.0000e+000	 8.0000e+000	 1.0000e-001	 5.0000e-002	 0.0000e+000	 1.4003e+000	 2.8006e+000	 7.5708e+000	
 4.0000e+000	 0.0000e+000	 1.1200e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.4059e+000	 1.5556e+001	 6.8043e+000	
 5.0000e+000	 0.0000e+000	 1.4400e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.4059e+000	 1.5556e+001	 6.8043e+000	
 6.0000e+000	 0.0000e+000	 1.7600e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.4059e+000	 1.5556e+001	 6.8043e+000	
 7.0000e+000	 0.0000e+000	 2.0800e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.4059e+000	 1.5556e+001	 6.8043e+000	
 8.0000e+000	 0.0000e+000	 2.4000e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.4059e+000	 1.5556e+001	 6.8043e+000	
 9.0000e+000	 0.0000e+000	 2.7200e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.4059e+000	 1.5556e+001	 6.8043e+000	
 1.0000e+001	 0.0000e+000	 3.0400e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.4059e+000	 1.5556e+001	 6.8043e+000	
 1.1000e+001	 0.0000e+000	 3.3600e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.4059e+000	 1.5556e+001	 6.8043e+000	
 1.3000e+001	 0.0000e+000	 3.6800e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.4059e+000	 1.5556e+001	 6.8043e+000	
 1.4000e+001	 0.0000e+000	 4.0000e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.4059e+000	 1.5556e+001	 6.8043e+000	
 1.5000e+001	 0.0000e+000	 4.3200e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.4059e+000	 1.5556e+001	 6.8043e+000	
 1.6000e+001	 0.0000e+000	 4.6400e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.4059e+000	 1.5556e+001	 6.8043e+000	
 1.7000e+001	 0.0000e+000	 4.9600e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.4059e+000	 1.5556e+001	 6.8043e+000	
 1.8000e+001	 0.0000e+000	 5.2800e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.4059e+000	 1.5556e+001	 6.8043e+000	
 1.9000e+001	 0.0000e+000	 5.6000e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.4059e+000	 1.5556e+001	 6.8043e+000	
 2.0000e+001	 0.0000e+000	 5.9200e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.4059e+000	 1.5556e+001	 6.8043e+000	
 2.1000e+001	 0.0000e+000	 6.2400e+001	 8.7381e+001	 1.9044e+000	 9.9162e+000	 4.4059e+000	 1.5556e+001	 6.8043e+000	
 1.0000e+001	 7.0000e+001	 3.0400e+001	 3.5214e-001	 4.5678e-001	 5.0701e-001	 4.0064e-001	 2.4742e+000	 8.1628e+000	
 1.1000e+001	 7.0000e+001	 3.3600e+001	 4.2990e-001	 4.6498e-001	 4.5096e-001	 3.6622e-001	 2.3792e+000	 8.2164e+000	
 1.0000e+000	 7.0000e+001	 1.6000e+000	 1.0013e-001	 5.1103e-002	 5.2503e-003	 1.3944e+000	 2.8005e+000	 7.5727e+000	
 1.3000e+001	 7.0000e+001	 3.6800e+001	 5.1067e-001	 4.5393e-001	 3.9580e-001	 3.3078e-001	 2.2678e+000	 8.2791e+000	
