         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	          Na	          Cl	           K	          Ca	
           2	      i_soln	           1	         -99	         -99	         -99	      6.9969	       13.63	 1.0000e-003	 0.0000e+000	 2.0000e-004	 0.0000e+000	
           2	      i_exch	           1	         -99	         -99	         -99	      6.9969	       13.63	 1.0000e-003	 0.0000e+000	 2.0000e-004	 0.0000e+000	
           2	       react	           1	         -99	           0	           1	      6.9969	       13.63	 1.0000e-003	 0.0000e+000	 2.0000e-004	 0.0000e+000	
           1	      transp	           8	       0.075	           0	           0	      6.9969	       13.63	 1.0000e-003	 0.0000e+000	 2.0000e-004	 0.0000e+000	
           1	      transp	           8	       0.075	           0	           1	      6.9969	       13.63	 1.0000e-003	 0.0000e+000	 2.0000e-004	 0.0000e+000	
           1	      transp	           8	       0.075	           0	           2	      6.9969	       13.63	 1.0000e-003	 0.0000e+000	 2.0000e-004	 0.0000e+000	
           1	      transp	           8	       0.075	           0	           3	      6.9969	       13.63	 1.0000e-003	 0.0000e+000	 2.0000e-004	 0.0000e+000	
           1	      transp	           8	       0.075	           0	           4	      6.9969	       13.63	 1.0000e-003	 1.9200e-006	 2.0000e-004	 5.9316e-028	
           1	      transp	           8	       0.075	           0	           5	      6.9969	       13.63	 9.9996e-004	 4.7232e-005	 2.0004e-004	 9.6885e-026	
           1	      transp	           8	       0.075	           0	           6	      6.9969	       13.63	 9.9952e-004	 2.2195e-004	 2.0048e-004	 9.6270e-023	
           1	      transp	           8	       0.075	           0	           7	      6.9969	       13.63	 9.9687e-004	 5.0809e-004	 2.0313e-004	 3.1874e-020	
           1	      transp	           8	       0.075	           0	           8	      6.9969	       13.63	 9.8596e-004	 7.8967e-004	 2.1404e-004	 1.1397e-017	
           1	      transp	           8	       0.075	           0	           9	      6.9969	       13.63	 9.5116e-004	 9.8991e-004	 2.4884e-004	 4.8224e-015	
           1	      transp	           8	       0.075	           0	          10	      6.9969	       13.63	 8.6249e-004	 1.1044e-003	 3.3751e-004	 9.8807e-013	
           1	      transp	           8	       0.075	           0	          11	      6.9969	       13.63	 6.9186e-004	 1.1604e-003	 5.0814e-004	 2.5848e-010	
           1	      transp	           8	       0.075	           0	          12	      6.9969	       13.63	 4.6844e-004	 1.1848e-003	 7.3149e-004	 3.8733e-008	
           1	      transp	           8	       0.075	           0	          13	      6.9969	       13.63	 2.6783e-004	 1.1945e-003	 9.2846e-004	 1.8537e-006	
           1	      transp	           8	       0.075	           0	          14	     6.99656	     13.6303	 1.1784e-004	 1.1981e-003	 8.7950e-004	 1.0133e-004	
           1	      transp	           8	       0.075	           0	          15	     6.99555	     13.6313	 3.6883e-005	 1.1994e-003	 3.5234e-004	 4.0539e-004	
           1	      transp	           8	       0.075	           0	          16	     6.99514	     13.6318	 1.1145e-005	 1.1998e-003	 1.2605e-004	 5.3140e-004	
           1	      transp	           8	       0.075	           0	          17	     6.99499	     13.6319	 3.3660e-006	 1.1999e-003	 4.6523e-005	 5.7506e-004	
           1	      transp	           8	       0.075	           0	          18	     6.99494	      13.632	 1.0170e-006	 1.2000e-003	 1.7593e-005	 5.9069e-004	
           1	      transp	           8	       0.075	           0	          19	     6.99493	      13.632	 3.0712e-007	 1.2000e-003	 6.7608e-006	 5.9647e-004	
           1	      transp	           8	       0.075	           0	          20	     6.99492	      13.632	 9.2639e-008	 1.2000e-003	 2.6265e-006	 5.9864e-004	
           1	      transp	           8	       0.075	           0	          21	     6.99492	      13.632	 2.7897e-008	 1.2000e-003	 1.0281e-006	 5.9947e-004	
           1	      transp	           8	       0.075	           0	          22	     6.99491	      13.632	 8.3844e-009	 1.2000e-003	 4.0466e-007	 5.9979e-004	
           1	      transp	           8	       0.075	           0	          23	     6.99491	      13.632	 2.5147e-009	 1.2000e-003	 1.5991e-007	 5.9992e-004	
           1	      transp	           8	       0.075	           0	          24	     6.99491	      13.632	 7.5260e-010	 1.2000e-003	 6.3377e-008	 5.9997e-004	
           1	      transp	           8	       0.075	           0	          25	     6.99491	      13.632	 2.2476e-010	 1.2000e-003	 2.5176e-008	 5.9999e-004	
