      dist_x	          Cl	          Na	
        0.05	 9.6495e-004	 8.8504e-004	
        0.15	 9.1812e-004	 6.9360e-004	
        0.25	 8.4451e-004	 4.3288e-004	
        0.35	 7.1652e-004	 1.9734e-004	
        0.45	 4.9952e-004	 6.0705e-005	
        0.55	 2.4048e-004	 1.1785e-005	
        0.65	 7.2812e-005	 1.4039e-006	
        0.75	 1.3132e-005	 9.9324e-008	
        0.85	 1.2882e-006	 3.8318e-009	
        0.95	 5.2940e-008	 6.2140e-011	
        1.05	 0.0000e+000	 0.0000e+000	
        1.15	 0.0000e+000	 0.0000e+000	
        1.25	 0.0000e+000	 0.0000e+000	
        1.35	 0.0000e+000	 0.0000e+000	
        1.45	 0.0000e+000	 0.0000e+000	
        1.55	 0.0000e+000	 0.0000e+000	
        1.65	 0.0000e+000	 0.0000e+000	
        1.75	 0.0000e+000	 0.0000e+000	
        1.85	 0.0000e+000	 0.0000e+000	
        1.95	 0.0000e+000	 0.0000e+000	
        0.05	 7.5889e-006	 2.0250e-005	
        0.15	 1.7993e-005	 5.0943e-005	
        0.25	 3.3135e-005	 1.0209e-004	
        0.35	 5.3591e-005	 1.7480e-004	
        0.45	 8.0158e-005	 2.5484e-004	
        0.55	 1.1396e-004	 3.1308e-004	
        0.65	 1.5767e-004	 3.2277e-004	
        0.75	 2.1666e-004	 2.7968e-004	
        0.85	 2.9573e-004	 2.0468e-004	
        0.95	 3.8769e-004	 1.2726e-004	
        1.05	 4.6467e-004	 6.7581e-005	
        1.15	 4.9243e-004	 3.0745e-005	
        1.25	 4.5811e-004	 1.1988e-005	
        1.35	 3.7620e-004	 3.9981e-006	
        1.45	 2.7323e-004	 1.1366e-006	
        1.55	 1.7416e-004	 2.7440e-007	
        1.65	 9.6074e-005	 5.6038e-008	
        1.75	 4.5211e-005	 9.6477e-009	
        1.85	 1.7934e-005	 1.3954e-009	
        1.95	 6.4869e-006	 1.7678e-010	
