         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	          Ca	        C(4)	        S(6)	  si_calcite	   si_pyrite	
           1	      transp	           1	         0.5	           0	           0	     4.90992	       16.09	 0.0000e+000	 3.5280e-004	 0.0000e+000	   -999.9990	   -999.9990	
           1	      transp	           2	         1.5	           0	           0	     4.90992	       16.09	 0.0000e+000	 3.5280e-004	 0.0000e+000	   -999.9990	   -999.9990	
           1	      transp	           1	         0.5	        3600	           1	     8.52818	     12.4718	 3.6987e-004	 7.2276e-004	 3.4566e-012	      0.0009	   -272.7343	
           1	      transp	           2	         1.5	        3600	           1	     8.52539	     12.4745	 3.7051e-004	 7.2417e-004	 3.4674e-013	     -0.0003	   -275.7185	
           1	      transp	           1	         0.5	        7200	           2	     8.52825	     12.4717	 3.6996e-004	 7.2294e-004	 7.1159e-012	      0.0012	   -271.7938	
           1	      transp	           2	         1.5	        7200	           2	     8.52354	     12.4764	 3.7130e-004	 7.2581e-004	 7.1240e-013	     -0.0003	   -274.7726	
           1	      transp	           1	         0.5	       10800	           3	     8.52739	     12.4726	 3.7000e-004	 7.2306e-004	 1.0775e-011	      0.0005	   -271.2497	
           1	      transp	           2	         1.5	       10800	           3	     8.52155	     12.4784	 3.7208e-004	 7.2744e-004	 1.0779e-012	     -0.0004	   -274.2247	
           1	      transp	           1	         0.5	       14400	           4	     8.52998	       12.47	 3.7025e-004	 7.2339e-004	 1.4434e-011	      0.0034	   -270.8797	
           1	      transp	           2	         1.5	       14400	           4	     8.51983	     12.4801	 3.7287e-004	 7.2909e-004	 1.4431e-012	     -0.0003	   -273.8372	
           1	      transp	           1	         0.5	       18000	           5	     8.53574	     12.4642	 3.7070e-004	 7.2392e-004	 1.8093e-011	      0.0098	   -270.6098	
           1	      transp	           2	         1.5	       18000	           5	     8.51794	      12.482	 3.7366e-004	 7.3073e-004	 1.8082e-012	     -0.0003	   -273.5354	
