        dist	      H2O_aq	     H2O_edl	     H2O_tot	          Na	          Ca	          Cl	          pH	
 5.0000e-010	 3.0000e-001	 9.0196e-002	 3.9020e-001	 1.0000e+000	 0.0000e+000	 1.0000e+000	 7.0000e+000	
 1.5000e-009	 3.0000e-001	 9.0196e-002	 3.9020e-001	 1.0000e+000	 0.0000e+000	 1.0000e+000	 7.0000e+000	
 2.5000e-009	 3.0000e-001	 9.0196e-002	 3.9020e-001	 1.0000e+000	 0.0000e+000	 1.0000e+000	 7.0000e+000	
 3.5000e-009	 3.0000e-001	 9.0196e-002	 3.9020e-001	 1.0000e+000	 0.0000e+000	 1.0000e+000	 7.0000e+000	
 4.5000e-009	 3.0000e-001	 9.0196e-002	 3.9020e-001	 1.0000e+000	 0.0000e+000	 1.0000e+000	 7.0000e+000	
 5.5000e-009	 3.0000e-001	 9.0196e-002	 3.9020e-001	 1.0000e+000	 0.0000e+000	 1.0000e+000	 7.0000e+000	
 6.5000e-009	 3.0000e-001	 9.0196e-002	 3.9020e-001	 1.0000e+000	 0.0000e+000	 1.0000e+000	 7.0000e+000	
 7.5000e-009	 3.0000e-001	 9.0196e-002	 3.9020e-001	 1.0000e+000	 0.0000e+000	 1.0000e+000	 7.0000e+000	
 8.5000e-009	 3.0000e-001	 9.0196e-002	 3.9020e-001	 1.0000e+000	 0.0000e+000	 1.0000e+000	 7.0000e+000	
 9.5000e-009	 3.0000e-001	 9.0196e-002	 3.9020e-001	 1.0000e+000	 0.0000e+000	 1.0000e+000	 7.0000e+000	
 5.0000e-010	 2.2653e-001	 1.6367e-001	 3.9020e-001	 2.6582e-001	 0.0000e+000	 2.6768e-001	 5.7365e+000	
 1.5000e-009	 2.8154e-001	 1.0866e-001	 3.9020e-001	 6.6677e-001	 0.0000e+000	 6.6914e-001	 5.6363e+000	
 2.5000e-009	 2.9432e-001	 9.5876e-002	 3.9020e-001	 8.7563e-001	 0.0000e+000	 8.7727e-001	 5.7995e+000	
 3.5000e-009	 2.9840e-001	 9.1797e-002	 3.9020e-001	 9.6213e-001	 0.0000e+000	 9.6311e-001	 6.0213e+000	
 4.5000e-009	 2.9961e-001	 9.0583e-002	 3.9020e-001	 9.9039e-001	 0.0000e+000	 9.9095e-001	 6.2561e+000	
 5.5000e-009	 2.9992e-001	 9.0275e-002	 3.9020e-001	 9.9789e-001	 0.0000e+000	 9.9820e-001	 6.4797e+000	
 6.5000e-009	 2.9999e-001	 9.0209e-002	 3.9020e-001	 9.9956e-001	 0.0000e+000	 9.9973e-001	 6.6712e+000	
 7.5000e-009	 3.0000e-001	 9.0198e-002	 3.9020e-001	 9.9990e-001	 0.0000e+000	 9.9999e-001	 6.8130e+000	
 8.5000e-009	 3.0000e-001	 9.0196e-002	 3.9020e-001	 9.9997e-001	 0.0000e+000	 1.0000e+000	 6.8998e+000	
 9.5000e-009	 3.0000e-001	 9.0196e-002	 3.9020e-001	 9.9999e-001	 0.0000e+000	 1.0000e+000	 6.9388e+000	
