      H2O_aq	      H2O_Su	     H2O_Hfo	     H2O_tot	  newH2O_tot	          Na	          Cl	          pH	
 1.0000e+000	 0.0000e+000	 0.0000e+000	 1.0000e+000	 5.0000e-001	 1.0000e+000	 1.0000e+000	 7.0000e+000	
 1.0000e+000	 9.3888e-002	 5.6333e-003	 1.0995e+000	 5.9952e-001	 1.0000e+000	 1.0000e+000	 7.0000e+000	
 1.0000e+000	 9.3888e-002	 5.6333e-003	 1.0995e+000	 5.9952e-001	 1.0000e+000	 1.0000e+000	 7.0000e+000	
 5.0181e-001	 9.2183e-002	 5.5310e-003	 5.9952e-001	 3.4862e-001	 9.9656e-001	 9.9656e-001	 6.9997e+000	
 2.5360e-001	 8.9643e-002	 5.3786e-003	 3.4862e-001	 2.2182e-001	 9.8671e-001	 9.8671e-001	 6.9989e+000	
 1.3019e-001	 8.6446e-002	 5.1868e-003	 2.2182e-001	 1.5673e-001	 9.6395e-001	 9.6395e-001	 6.9970e+000	
 6.8641e-002	 8.3099e-002	 4.9859e-003	 1.5673e-001	 1.2241e-001	 9.2359e-001	 9.2359e-001	 6.9940e+000	
 3.7512e-002	 8.0088e-002	 4.8053e-003	 1.2241e-001	 1.0365e-001	 8.6906e-001	 8.6905e-001	 6.9906e+000	
 2.1378e-002	 7.7615e-002	 4.6569e-003	 1.0365e-001	 9.2961e-002	 8.1067e-001	 8.1064e-001	 6.9880e+000	
 1.8592e-002	 7.0159e-002	 4.2095e-003	 9.2961e-002	 8.3665e-002	 6.4856e-001	 6.4856e-001	 6.9887e+000	
 1.6733e-002	 6.3143e-002	 3.7886e-003	 8.3665e-002	 7.5298e-002	 5.3655e-001	 5.3660e-001	 7.0000e+000	
 1.5060e-002	 5.6829e-002	 3.4097e-003	 7.5298e-002	 6.7768e-002	 4.5895e-001	 4.5897e-001	 7.0165e+000	
 1.3554e-002	 5.1146e-002	 3.0688e-003	 6.7768e-002	 6.0991e-002	 4.0244e-001	 4.0251e-001	 7.0349e+000	
 1.2198e-002	 4.6031e-002	 2.7619e-003	 6.0991e-002	 5.4892e-002	 3.5981e-001	 3.5975e-001	 7.0537e+000	
 1.0978e-002	 4.1428e-002	 2.4857e-003	 5.4892e-002	 4.9403e-002	 3.2660e-001	 3.2663e-001	 7.0721e+000	
 9.8806e-003	 3.7285e-002	 2.2371e-003	 4.9403e-002	 4.4463e-002	 3.0027e-001	 3.0016e-001	 7.0896e+000	
 8.8926e-003	 3.3557e-002	 2.0134e-003	 4.4463e-002	 4.0016e-002	 2.7889e-001	 2.7890e-001	 7.1061e+000	
