        days	       J_hto	        J_sr	        J_na	        J_cl	          EB	
 0.0000e+000	
 5.7870e+004	 1.0632e-007	 5.4716e-006	 5.8987e-007	 5.8427e-008	 1.1640e-006	
 1.1574e+005	 4.6806e-007	 2.4089e-005	 2.5968e-006	 2.5722e-007	 1.1083e-006	
 1.7361e+005	 6.2659e-007	 3.2249e-005	 3.4764e-006	 3.4436e-007	 1.0782e-006	
 2.3148e+005	 6.7409e-007	 3.4694e-005	 3.7399e-006	 3.7046e-007	 1.0656e-006	
 2.8935e+005	 6.8810e-007	 3.5415e-005	 3.8177e-006	 3.7818e-007	 1.0582e-006	
 3.4722e+005	 6.9223e-007	 3.5628e-005	 3.8406e-006	 3.8046e-007	 1.0607e-006	
 4.0509e+005	 6.9345e-007	 3.5691e-005	 3.8473e-006	 3.8114e-007	 1.0659e-006	
 4.6296e+005	 6.9381e-007	 3.5710e-005	 3.8493e-006	 3.8134e-007	 1.0704e-006	
 5.2083e+005	 6.9392e-007	 3.5715e-005	 3.8499e-006	 3.8141e-007	 1.1692e-006	
 5.7870e+005	 6.9395e-007	 3.5717e-005	 3.8501e-006	 3.8143e-007	 1.2795e-006	
 6.3657e+005	 6.9396e-007	 3.5717e-005	 3.8501e-006	 3.8144e-007	 1.2792e-006	
        days	       J_hto	        J_sr	        J_na	        J_cl	          EB	
        days	       J_hto	        J_sr	        J_na	        J_cl	          EB	
 0.0000e+000	
 5.7870e+004	 3.1860e-007	 1.5470e-005	 7.4231e-007	 5.8559e-008	 1.4575e-006	
 1.1574e+005	 9.3046e-007	 4.2088e-004	 4.6670e-006	 2.3972e-007	 1.9954e-006	
 1.7361e+005	 1.0283e-006	 2.9200e-004	 3.6873e-006	 2.3615e-007	 2.9060e-006	
 2.3148e+005	 1.0403e-006	 1.7358e-004	 2.9605e-006	 2.3465e-007	 3.6853e-006	
 2.8935e+005	 1.0419e-006	 1.0366e-004	 2.7793e-006	 2.3501e-007	 4.4263e-006	
 3.4722e+005	 1.0423e-006	 6.2233e-005	 2.7367e-006	 2.3518e-007	 4.7672e-006	
 4.0509e+005	 1.0425e-006	 3.7574e-005	 2.7255e-006	 2.3518e-007	 4.7297e-006	
 4.6296e+005	 1.0427e-006	 2.2971e-005	 2.7211e-006	 2.3509e-007	 5.0337e-006	
 5.2083e+005	 1.0429e-006	 1.7417e-005	 2.7190e-006	 2.3495e-007	 6.3276e-006	
 5.7870e+005	 1.0432e-006	 1.6251e-005	 2.7185e-006	 2.3480e-007	 6.6054e-006	
 6.3657e+005	 1.0435e-006	 1.5965e-005	 2.7191e-006	 2.3465e-007	 6.8751e-006	
