        days	      Tracer	          Fe	
 5.0000e-002	 1.0003e-010	 1.0143e-015	
 1.5000e-001	 3.7008e-008	 1.0145e-015	
 2.5000e-001	 2.2736e-006	 1.0162e-015	
 3.5000e-001	 5.5031e-005	 1.0246e-015	
 4.5000e-001	 6.9515e-004	 1.0604e-015	
 5.5000e-001	 5.2705e-003	 1.2023e-015	
 6.5000e-001	 2.6073e-002	 1.7193e-015	
 7.5000e-001	 8.9132e-002	 3.2587e-015	
 8.5000e-001	 2.2068e-001	 5.9581e-015	
 9.5000e-001	 4.1445e-001	 7.5895e-015	
 1.0500e+000	 6.2203e-001	 8.2296e-015	
 1.1500e+000	 7.9042e-001	 9.5893e-015	
 1.2500e+000	 8.9896e-001	 1.4291e-014	
 1.3500e+000	 9.5697e-001	 6.6587e-004	
 1.4500e+000	 9.8356e-001	 2.5786e-003	
 1.5500e+000	 9.9429e-001	 6.4180e-003	
 1.6500e+000	 9.9818e-001	 1.2992e-002	
 1.7500e+000	 9.9946e-001	 2.3216e-002	
 1.8500e+000	 9.9985e-001	 3.8064e-002	
 1.9500e+000	 9.9996e-001	 5.8524e-002	
 2.0500e+000	 9.9999e-001	 8.5540e-002	
 2.1500e+000	 1.0000e+000	 1.1997e-001	
 2.2500e+000	 1.0000e+000	 1.6254e-001	
 2.3500e+000	 1.0000e+000	 2.1382e-001	
 2.4500e+000	 1.0000e+000	 2.7419e-001	
 2.5500e+000	 1.0000e+000	 3.4388e-001	
 2.6500e+000	 1.0000e+000	 4.2288e-001	
 2.7500e+000	 1.0000e+000	 5.1103e-001	
 2.8500e+000	 1.0000e+000	 6.0800e-001	
 2.9500e+000	 1.0000e+000	 7.1329e-001	
 3.0500e+000	 1.0000e+000	 8.2628e-001	
 5.0000e-002	 0.0000e+000	 0.0000e+000	
 5.0000e-002	 1.0000e+000	 8.2628e-001	
 1.5000e-001	 1.0000e-001	 1.2191e-015	
 2.5000e-001	 1.0001e-002	 1.0511e-015	
 3.5000e-001	 1.0001e-003	 1.0233e-015	
 4.5000e-001	 1.0001e-004	 1.0169e-015	
 5.5000e-001	 1.0001e-005	 1.0151e-015	
 6.5000e-001	 1.0002e-006	 1.0145e-015	
 7.5000e-001	 1.0002e-007	 1.0143e-015	
 8.5000e-001	 1.0002e-008	 1.0143e-015	
 9.5000e-001	 1.0002e-009	 1.0143e-015	
 1.0500e+000	 1.0003e-010	 1.0143e-015	
 5.0000e-002	 1.0003e-010	 1.0143e-015	
 1.5000e-001	 3.7008e-008	 1.0143e-015	
 2.5000e-001	 2.2736e-006	 1.0147e-015	
 3.5000e-001	 5.5031e-005	 1.0168e-015	
 4.5000e-001	 6.9515e-004	 1.0262e-015	
 5.5000e-001	 5.2705e-003	 1.0652e-015	
 6.5000e-001	 2.6073e-002	 1.2161e-015	
 7.5000e-001	 8.9133e-002	 1.6931e-015	
 8.5000e-001	 2.2068e-001	 2.7640e-015	
 9.5000e-001	 4.1445e-001	 4.1299e-015	
 1.0500e+000	 6.2203e-001	 5.0643e-015	
 1.1500e+000	 7.9042e-001	 5.9038e-015	
 1.2500e+000	 8.9896e-001	 7.4108e-015	
 1.3500e+000	 9.5697e-001	 1.0914e-014	
 1.4500e+000	 9.8356e-001	 1.6601e-004	
 1.5500e+000	 9.9429e-001	 8.7887e-004	
 1.6500e+000	 9.9818e-001	 2.4941e-003	
 1.7500e+000	 9.9946e-001	 5.4721e-003	
 1.8500e+000	 9.9985e-001	 1.0375e-002	
 1.9500e+000	 9.9996e-001	 1.7852e-002	
 2.0500e+000	 9.9999e-001	 2.8616e-002	
 2.1500e+000	 1.0000e+000	 4.3415e-002	
 2.2500e+000	 1.0000e+000	 6.3004e-002	
 2.3500e+000	 1.0000e+000	 8.8111e-002	
 2.4500e+000	 1.0000e+000	 1.1941e-001	
 2.5500e+000	 1.0000e+000	 1.5749e-001	
 2.6500e+000	 1.0000e+000	 2.0285e-001	
 2.7500e+000	 1.0000e+000	 2.5585e-001	
 2.8500e+000	 1.0000e+000	 3.1675e-001	
 2.9500e+000	 1.0000e+000	 3.8564e-001	
 3.0500e+000	 1.0000e+000	 4.6250e-001	
 5.0000e-002	 0.0000e+000	 0.0000e+000	
 5.0000e-002	 1.0000e+000	 4.6250e-001	
 1.5000e-001	 1.0000e-001	 1.1456e-015	
 2.5000e-001	 1.0001e-002	 1.0383e-015	
 3.5000e-001	 1.0001e-003	 1.0202e-015	
 4.5000e-001	 1.0001e-004	 1.0160e-015	
 5.5000e-001	 1.0001e-005	 1.0148e-015	
 6.5000e-001	 1.0002e-006	 1.0144e-015	
 7.5000e-001	 1.0002e-007	 1.0143e-015	
 8.5000e-001	 1.0002e-008	 1.0143e-015	
 9.5000e-001	 1.0002e-009	 1.0143e-015	
 1.0500e+000	 1.0003e-010	 1.0143e-015	
 5.0000e-002	 1.0003e-010	 1.0143e-015	
 1.5000e-001	 3.7008e-008	 1.0143e-015	
 2.5000e-001	 2.2736e-006	 1.0145e-015	
 3.5000e-001	 5.5031e-005	 1.0159e-015	
 4.5000e-001	 6.9515e-004	 1.0220e-015	
 5.5000e-001	 5.2705e-003	 1.0472e-015	
 6.5000e-001	 2.6073e-002	 1.1433e-015	
 7.5000e-001	 8.9133e-002	 1.4548e-015	
 8.5000e-001	 2.2068e-001	 2.2288e-015	
 9.5000e-001	 4.1445e-001	 3.4385e-015	
 1.0500e+000	 6.2203e-001	 4.4474e-015	
 1.1500e+000	 7.9042e-001	 5.3263e-015	
 1.2500e+000	 8.9896e-001	 6.6973e-015	
 1.3500e+000	 9.5697e-001	 9.4966e-015	
 1.4500e+000	 9.8356e-001	 2.1286e-014	
 1.5500e+000	 9.9429e-001	 4.5057e-004	
 1.6500e+000	 9.9818e-001	 1.5953e-003	
 1.7500e+000	 9.9946e-001	 3.8075e-003	
 1.8500e+000	 9.9985e-001	 7.5578e-003	
 1.9500e+000	 9.9996e-001	 1.3404e-002	
 2.0500e+000	 9.9999e-001	 2.1974e-002	
 2.1500e+000	 1.0000e+000	 3.3943e-002	
 2.2500e+000	 1.0000e+000	 5.0008e-002	
 2.3500e+000	 1.0000e+000	 7.0863e-002	
 2.4500e+000	 1.0000e+000	 9.7166e-002	
 2.5500e+000	 1.0000e+000	 1.2952e-001	
 2.6500e+000	 1.0000e+000	 1.6846e-001	
 2.7500e+000	 1.0000e+000	 2.1441e-001	
 2.8500e+000	 1.0000e+000	 2.6768e-001	
 2.9500e+000	 1.0000e+000	 3.2849e-001	
 3.0500e+000	 1.0000e+000	 3.9691e-001	
