        conc	    eq_EC_25	
 5.0000e-004	 1.4769e+002	
 1.0000e-003	 1.4673e+002	
 5.0000e-003	 1.4314e+002	
 1.0000e-002	 1.4073e+002	
 2.0000e-002	 1.3764e+002	
 5.0000e-002	 1.3241e+002	
 1.0000e-001	 1.2765e+002	
 5.0000e-004	 1.2439e+002	
 1.0000e-003	 1.2358e+002	
 5.0000e-003	 1.2059e+002	
 1.0000e-002	 1.1861e+002	
 2.0000e-002	 1.1609e+002	
 5.0000e-002	 1.1191e+002	
 1.0000e-001	 1.0821e+002	
 5.0000e-004	 4.1962e+002	
 1.0000e-003	 4.1723e+002	
 5.0000e-003	 4.0837e+002	
 1.0000e-002	 4.0276e+002	
 2.0000e-002	 3.9598e+002	
 5.0000e-002	 3.8542e+002	
 1.0000e-001	 3.7663e+002	
 5.0000e-004	 1.3149e+002	
 1.0000e-003	 1.2975e+002	
 5.0000e-003	 1.2344e+002	
 1.0000e-002	 1.1947e+002	
 2.0000e-002	 1.1471e+002	
 5.0000e-002	 1.0741e+002	
 1.0000e-001	 1.0156e+002	
 5.0000e-004	 1.2522e+002	
 1.0000e-003	 1.2362e+002	
 5.0000e-003	 1.1784e+002	
 1.0000e-002	 1.1423e+002	
 2.0000e-002	 1.0991e+002	
 5.0000e-002	 1.0334e+002	
 1.0000e-001	 9.8110e+001	
 5.0000e-004	 1.2526e+002	
 1.0000e-003	 1.2317e+002	
 5.0000e-003	 1.1528e+002	
 1.0000e-002	 1.1016e+002	
 2.0000e-002	 1.0391e+002	
 5.0000e-002	 9.4171e+001	
 1.0000e-001	 8.6147e+001	
 4.9713e-004	 1.2119e+002	
 9.9465e-004	 1.1502e+002	
 4.9797e-003	 9.2964e+001	
 9.9658e-003	 8.1111e+001	
 1.9944e-002	 6.8971e+001	
 4.9896e-002	 5.3702e+001	
 9.9836e-002	 4.3400e+001	

 4.9995e-004	 1.3915e+002	
 9.9990e-004	 1.3598e+002	
 4.9995e-003	 1.2534e+002	
 9.9990e-003	 1.1932e+002	
 1.9998e-002	 1.1260e+002	
 4.9995e-002	 1.0306e+002	
 9.9990e-002	 9.5653e+001	
