           x	          pH	          pe	          O2	           A	          A+	          A-	     water-1	










 1.5000e-001	 6.9995e+000	 1.1549e+001	 1.2921e-009	 9.9636e-001	 9.9636e+000	 9.9636e+000	 9.0483e-013	
 4.5000e-001	 6.9994e+000	 1.1500e+001	 8.2795e-010	 9.8119e-001	 9.8120e+000	 9.8119e+000	 2.3659e-012	
 7.5000e-001	 6.9993e+000	 1.1425e+001	 4.1339e-010	 9.3202e-001	 9.3202e+000	 9.3202e+000	 7.0226e-012	
 1.0500e+000	 6.9990e+000	 1.1338e+001	 1.8448e-010	 8.1556e-001	 8.1556e+000	 8.1556e+000	 1.8407e-011	
 1.3500e+000	 6.9987e+000	 1.1325e+001	 1.6384e-010	 6.1585e-001	 6.1585e+000	 6.1585e+000	 4.0144e-011	
 1.6500e+000	 6.9984e+000	 1.1397e+001	 3.1782e-010	 3.7666e-001	 3.7666e+000	 3.7666e+000	-1.2151e-010	
 1.9500e+000	 6.9981e+000	 1.1426e+001	 4.1402e-010	 1.8243e-001	 1.8243e+000	 1.8243e+000	-8.5549e-011	
 2.2500e+000	 6.9979e+000	 1.1317e+001	 1.5166e-010	 7.0503e-002	 7.0502e-001	 7.0502e-001	-5.3373e-011	
 2.5500e+000	 6.9978e+000	 1.1152e+001	 3.2938e-011	 2.2228e-002	 2.2227e-001	 2.2227e-001	-2.9571e-011	
 2.8500e+000	 6.9978e+000	 1.1337e+001	 1.8122e-010	 6.6389e-003	 6.6377e-002	 6.6382e-002	-1.5545e-011	












 1.5000e-001	 7.0000e+000	-1.7593e+000	 0.0000e+000	 9.9987e-001	 9.9987e+000	 9.9987e+000	-1.3767e-014	
 4.5000e-001	 7.0000e+000	-1.7943e+000	 0.0000e+000	 9.9730e-001	 9.9730e+000	 9.9730e+000	-2.7978e-013	
 7.5000e-001	 6.9999e+000	-1.6338e+000	 0.0000e+000	 9.7608e-001	 9.7608e+000	 9.7608e+000	-2.4636e-012	
 1.0500e+000	 6.9997e+000	-1.5899e+000	 0.0000e+000	 8.8349e-001	 8.8349e+000	 8.8349e+000	-1.1706e-011	
 1.3500e+000	 6.9990e+000	-1.7242e+000	 0.0000e+000	 6.5586e-001	 6.5586e+000	 6.5586e+000	-3.1991e-011	
 1.6500e+000	 6.9982e+000	-1.5418e+000	 0.0000e+000	 3.4414e-001	 3.4414e+000	 3.4414e+000	-5.0520e-011	
 1.9500e+000	 6.9976e+000	 1.1163e+001	 3.6343e-011	 1.1651e-001	 1.1651e+000	 1.1651e+000	-4.6893e-011	
 2.2500e+000	 6.9974e+000	 1.0982e+001	 6.8803e-012	 2.3921e-002	 2.3920e-001	 2.3920e-001	-2.7074e-011	
 2.5500e+000	 6.9974e+000	-7.6702e-001	 0.0000e+000	 2.7016e-003	 2.7007e-002	 2.7007e-002	-9.8180e-012	
 2.8500e+000	 6.9974e+000	-1.3895e+000	 0.0000e+000	 1.2960e-004	 1.2870e-003	 1.2870e-003	-1.8011e-012	
