        dist	          pH	          pe	          O2	           A	         Fe2	         Fe3	       water	










 5.0000e-001	 7.1989e+000	 4.0248e+000	 0.0000e+000	 8.3299e-001	 3.4826e-001	 4.9886e-001	-4.5543e-010	
 1.5000e+000	 7.1600e+000	 4.0956e+000	 0.0000e+000	 5.2816e-001	 2.3942e-001	 3.2528e-001	-2.0750e-009	
 2.5000e+000	 7.1065e+000	 4.1944e+000	 0.0000e+000	 2.9568e-001	 1.5055e-001	 1.8997e-001	-2.5755e-009	
 3.5000e+000	 7.0400e+000	 4.3181e+000	 0.0000e+000	 1.4610e-001	 8.6473e-002	 9.9544e-002	-2.7081e-009	
 4.5000e+000	 6.9635e+000	 4.4606e+000	 0.0000e+000	 6.3939e-002	 4.5391e-002	 4.7057e-002	-2.6639e-009	
 5.5000e+000	 6.8828e+000	 4.6086e+000	 0.0000e+000	 2.4916e-002	 2.1811e-002	 2.0210e-002	-2.6635e-009	
 6.5000e+000	 6.8125e+000	 4.7278e+000	 1.2055e-037	 8.6996e-003	 9.6125e-003	 7.9417e-003	-2.7877e-009	
 7.5000e+000	 6.7801e+000	 4.7544e+000	 1.1429e-037	 2.7370e-003	 3.8811e-003	 2.8649e-003	-2.2244e-009	
 8.5000e+000	 6.8171e+000	 4.6166e+000	 0.0000e+000	 7.7169e-004	 1.3997e-003	 9.3193e-004	-3.8324e-010	
 9.5000e+000	 6.9506e+000	 4.2466e+000	 0.0000e+000	 1.5518e-004	 3.4048e-004	 2.0944e-004	 1.9892e-009	












 5.0000e-001	 7.2115e+000	 3.9985e+000	 0.0000e+000	 8.3692e-001	 3.4036e-001	 4.9656e-001	 1.0827e-010	
 1.5000e+000	 7.2084e+000	 3.9953e+000	 0.0000e+000	 5.3674e-001	 2.1828e-001	 3.1846e-001	 3.0740e-010	
 2.5000e+000	 7.2050e+000	 3.9927e+000	 0.0000e+000	 3.0281e-001	 1.2315e-001	 1.7966e-001	 4.6199e-010	
 3.5000e+000	 7.2012e+000	 3.9920e+000	 0.0000e+000	 1.4862e-001	 6.0443e-002	 8.8181e-002	 5.6211e-010	
 4.5000e+000	 7.1963e+000	 3.9961e+000	 0.0000e+000	 6.2834e-002	 2.5554e-002	 3.7281e-002	 6.1245e-010	
 5.5000e+000	 7.1870e+000	 4.0142e+000	 0.0000e+000	 2.2663e-002	 9.2165e-003	 1.3446e-002	 6.1905e-010	
 6.5000e+000	 7.1634e+000	 4.0725e+000	 0.0000e+000	 6.9024e-003	 2.8071e-003	 4.0953e-003	 5.6727e-010	
 7.5000e+000	 7.1085e+000	 4.2147e+000	 0.0000e+000	 1.7544e-003	 7.1350e-004	 1.0409e-003	 4.0604e-010	
 8.5000e+000	 7.0395e+000	 4.3933e+000	 0.0000e+000	 3.6600e-004	 1.4884e-004	 2.1715e-004	 1.6637e-010	
 9.5000e+000	 7.0050e+000	 4.4817e+000	 0.0000e+000	 5.3683e-005	 2.1832e-005	 3.1851e-005	 3.1124e-011	
