        dist	       Ca/Na	     Cl/S(6)	         H2S	          pH	          pe	          cb	










 2.0000e-003	 1.8533e+000	 9.2665e-001	 0.0000e+000	 7.0015e+000	 1.1000e+001	-9.4036e-014	
 6.0000e-003	 1.5628e+000	 7.8138e-001	 0.0000e+000	 7.0041e+000	 1.1080e+001	-5.7065e-014	
 1.0000e-002	 1.2840e+000	 6.4198e-001	 0.0000e+000	 7.0055e+000	 1.1130e+001	 6.6613e-015	
 1.4000e-002	 1.0253e+000	 5.1266e-001	 0.0000e+000	 7.0054e+000	 1.1142e+001	 2.3315e-015	
 1.8000e-002	 7.9311e-001	 3.9655e-001	 0.0000e+000	 7.0033e+000	 1.1154e+001	-2.3315e-015	
 2.2000e-002	 5.9076e-001	 2.9538e-001	 0.0000e+000	 6.9990e+000	 1.1179e+001	-4.6629e-015	
 2.6000e-002	 4.1847e-001	 2.0924e-001	 0.0000e+000	 6.9924e+000	 1.1206e+001	-2.6090e-015	
 3.0000e-002	 2.7334e-001	 1.3667e-001	 0.0000e+000	 6.9839e+000	 1.1179e+001	-2.0539e-015	
 3.4000e-002	 1.4999e-001	 7.4997e-002	 0.0000e+000	 6.9760e+000	 1.1122e+001	-1.3878e-016	
 3.8000e-002	 4.2562e-002	 2.1281e-002	 2.0310e-027	 6.9807e+000	-5.2719e-001	-3.8164e-016	












 2.0000e-003	 1.8021e+000	 9.0104e-001	 0.0000e+000	 7.0305e+000	 1.1479e+001	-2.2204e-016	
 6.0000e-003	 1.4182e+000	 7.0911e-001	 0.0000e+000	 7.0874e+000	 1.1404e+001	-3.3307e-016	
 1.0000e-002	 1.0681e+000	 5.3404e-001	 0.0000e+000	 7.1345e+000	 1.1337e+001	 1.1102e-016	
 1.4000e-002	 7.6771e-001	 3.8386e-001	 0.0000e+000	 7.1683e+000	 1.1285e+001	 4.4409e-016	
 1.8000e-002	 5.2536e-001	 2.6268e-001	 0.0000e+000	 7.1870e+000	 1.1252e+001	 5.5511e-016	
 2.2000e-002	 3.4134e-001	 1.7067e-001	 0.0000e+000	 7.1907e+000	 1.1233e+001	 5.5511e-016	
 2.6000e-002	 2.0955e-001	 1.0477e-001	 0.0000e+000	 7.1807e+000	 1.1230e+001	 4.7184e-016	
 3.0000e-002	 1.1978e-001	 5.9892e-002	 0.0000e+000	 7.1587e+000	 1.1238e+001	 4.9960e-016	
 3.4000e-002	 6.0047e-002	 3.0023e-002	 0.0000e+000	 7.1248e+000	 1.1256e+001	 3.1225e-016	
 3.8000e-002	 1.8067e-002	 9.0333e-003	 0.0000e+000	 7.0676e+000	 1.1287e+001	 1.1449e-016	
