        cell	          pH	          pe	          O2	           A	          A+	          A-	          cb	






 1.0000e+000	 6.9991e+000	 1.0912e+001	 3.6737e-012	 3.8259e-001	 3.8259e+000	 3.8259e+000	-1.1467e-017	
 4.0000e+000	 6.9990e+000	 1.1071e+001	 1.5820e-011	 2.8356e-001	 2.8356e+000	 2.8356e+000	-2.0936e-018	
 6.0000e+000	 6.9990e+000	 1.1104e+001	 2.1533e-011	 2.4023e-001	 2.4023e+000	 2.4023e+000	 9.7190e-020	
 8.0000e+000	 6.9990e+000	 1.1002e+001	 8.4130e-012	 2.6271e-001	 2.6271e+000	 2.6271e+000	 5.5497e-019	
 2.0000e+000	 6.9979e+000	-1.7225e+000	 0.0000e+000	 6.3649e-002	 6.3649e-001	 6.3649e-001	-2.0509e-018	
 5.0000e+000	 6.9979e+000	 1.0789e+001	 1.1677e-012	 4.7270e-002	 4.7270e-001	 4.7270e-001	-5.8202e-019	









 1.0000e+000	 6.9980e+000	 1.1242e+001	 7.5932e-011	 2.5457e-001	 2.5457e+000	 2.5457e+000	 5.9380e-018	
 4.0000e+000	 6.9978e+000	 1.1279e+001	 1.0685e-010	 1.8363e-001	 1.8363e+000	 1.8363e+000	 1.8599e-019	
 6.0000e+000	 6.9977e+000	 1.1305e+001	 1.3482e-010	 1.5309e-001	 1.5309e+000	 1.5309e+000	-1.1593e-018	
 8.0000e+000	 6.9977e+000	 1.1282e+001	 1.0950e-010	 1.6864e-001	 1.6864e+000	 1.6864e+000	 1.8639e-019	
 2.0000e+000	 6.9974e+000	 1.1153e+001	 3.3295e-011	 2.6726e-002	 2.6726e-001	 2.6726e-001	-6.8549e-019	
 5.0000e+000	 6.9974e+000	 1.1157e+001	 3.4418e-011	 1.9058e-002	 1.9058e-001	 1.9058e-001	-5.5062e-019	
