     conc_Cl	       EC_20	           I	
 6.9724e-002	 7.3105e+003	 6.9724e-002	
 1.3983e-001	 1.4096e+004	 1.3983e-001	
 2.1173e-001	 2.0804e+004	 2.1173e-001	
 2.8404e-001	 2.7389e+004	 2.8404e-001	
 3.5818e-001	 3.4025e+004	 3.5818e-001	
 4.3131e-001	 3.9540e+004	 4.3131e-001	
 5.0630e-001	 4.4822e+004	 5.0630e-001	
 5.8318e-001	 4.9912e+004	 5.8318e-001	
 7.3684e-001	 5.9236e+004	 7.3684e-001	
 8.9529e-001	 6.7861e+004	 8.9529e-001	
 1.0572e+000	 7.5825e+004	 1.0572e+000	
 1.1404e+000	 7.9635e+004	 1.1404e+000	
 8.8884e-002	 7.7921e+003	 8.8884e-002	
 1.7992e-001	 1.5206e+004	 1.7992e-001	
 2.6954e-001	 2.2307e+004	 2.6954e-001	
 3.6134e-001	 2.9465e+004	 3.6134e-001	
 4.5533e-001	 3.5731e+004	 4.5533e-001	
 5.4972e-001	 4.1674e+004	 5.4972e-001	
 6.4452e-001	 4.7357e+004	 6.4452e-001	
 7.2139e-001	 5.1794e+004	 7.2139e-001	
 9.1659e-001	 6.2535e+004	 9.1659e-001	
 1.0967e+000	 7.1987e+004	 1.0967e+000	
 1.4671e+000	 9.0845e+004	 1.4671e+000	
 1.8110e+000	 1.0857e+005	 1.8110e+000	
 9.3483e-002	 7.6957e+003	 1.4022e-001	
 1.8941e-001	 1.4724e+004	 2.8411e-001	
 2.8570e-001	 2.1238e+004	 4.2855e-001	
 3.8236e-001	 2.7089e+004	 5.7354e-001	
 4.8151e-001	 3.2742e+004	 7.2226e-001	
 5.8105e-001	 3.7307e+004	 8.7158e-001	
 6.8099e-001	 4.1546e+004	 1.0215e+000	
 7.8346e-001	 4.5620e+004	 1.1752e+000	
 9.9181e-001	 5.3327e+004	 1.4877e+000	
 1.2040e+000	 6.0738e+004	 1.8061e+000	
 1.4225e+000	 6.8248e+004	 2.1337e+000	
 1.7603e+000	 8.0300e+004	 2.6404e+000	
 1.0901e-001	 8.5652e+003	 1.6352e-001	
 2.2050e-001	 1.6470e+004	 3.3075e-001	
 4.4439e-001	 3.0002e+004	 6.6659e-001	
 6.7393e-001	 4.0865e+004	 1.0109e+000	
 9.0696e-001	 5.0528e+004	 1.3604e+000	
 1.1480e+000	 6.0137e+004	 1.7220e+000	
 1.3927e+000	 7.0127e+004	 2.0891e+000	
 1.6434e+000	 8.1210e+004	 2.4651e+000	
 1.8979e+000	 9.3999e+004	 2.8468e+000	
 2.1585e+000	 1.0952e+005	 3.2378e+000	
 4.6004e-002	 3.6929e+003	 1.0322e-001	
 9.3035e-002	 6.2216e+003	 1.8795e-001	
 1.8835e-001	 1.0432e+004	 3.4013e-001	
 2.8596e-001	 1.4120e+004	 4.7971e-001	
 3.8592e-001	 1.7513e+004	 6.1082e-001	
 4.8823e-001	 2.0570e+004	 7.3547e-001	
 5.9295e-001	 2.2424e+004	 8.5492e-001	
 7.0104e-001	 2.4060e+004	 9.7101e-001	
 8.1066e-001	 2.5511e+004	 1.0823e+000	
 1.0393e+000	 2.8085e+004	 1.2974e+000	

 9.3300e-002	 6.7821e+003	 1.7709e-001	
 1.8750e-001	 1.2377e+004	 3.4391e-001	
 2.8350e-001	 1.6978e+004	 5.0519e-001	
 3.8040e-001	 2.0937e+004	 6.6104e-001	
 4.8000e-001	 2.4434e+004	 8.1536e-001	
 5.8080e-001	 2.7486e+004	 9.6653e-001	
 6.8310e-001	 3.0057e+004	 1.1156e+000	
 7.8750e-001	 3.1863e+004	 1.2639e+000	
 8.9370e-001	 3.3401e+004	 1.4114e+000	
