        dist	          Cl	        Su_a	        Su_b	       Hfo_w	       Hfo_s	
 5.0000e-001	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 9.4888e-001	 9.4888e-001	 9.4888e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 1.2537e-001	 1.2537e-001	 1.2537e-001	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 6.1625e-003	 6.1625e-003	 6.1625e-003	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 1.4319e-004	 1.4319e-004	 1.4319e-004	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 9.9475e-001	 9.9475e-001	 9.9475e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 8.8206e-001	 8.8207e-001	 8.8207e-001	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 1.8821e-001	 1.8821e-001	 1.8821e-001	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 1.9958e-002	 1.9958e-002	 1.9958e-002	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 9.9932e-001	 9.9932e-001	 9.9932e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 9.8293e-001	 9.8293e-001	 9.8293e-001	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 8.3012e-001	 8.3012e-001	 8.3012e-001	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 2.4632e-001	 2.4632e-001	 2.4632e-001	 0.0000e+000	 0.0000e+000	
