        cell	          Cl	         Sua	         Hfo	         Sub	   Sorbedhfo	
 1.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 2.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 3.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 1.0000e+000	 9.9970e-001	 9.9970e-001	 1.0000e+000	 1.0000e+000	 0.0000e+000	
 2.0000e+000	 3.0030e-004	 3.0000e-004	 3.0000e-007	 3.0000e-007	 0.0000e+000	
 3.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 1.0000e+000	 1.0000e+000	 1.0000e+000	 1.0000e+000	 1.0000e+000	 5.0000e-001	
 2.0000e+000	 9.9940e-001	 9.9940e-001	 5.0000e-001	 1.0000e+000	 1.5000e-007	
 3.0000e+000	 6.0043e-004	 5.9982e-004	 3.0000e-007	 6.0000e-007	 0.0000e+000	
 1.0000e+000	 1.0000e+000	 1.0000e+000	 1.0000e+000	 1.0000e+000	 1.0000e+000	
 2.0000e+000	 1.0000e+000	 1.0000e+000	 5.0000e-001	 1.0000e+000	 2.5000e-001	
 3.0000e+000	 9.9940e-001	 9.9940e-001	 2.5000e-001	 1.0000e+000	 1.5000e-007	
