          PV	          Cl	         SAR	         Hfo	       U_sol	       U_col	       U_tot	
 5.0000e-002	 3.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e-096	 2.0000e-096	
 1.5000e-001	 3.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e-096	 2.0000e-096	
 2.5000e-001	 3.0000e+000	 1.0000e+000	 0.0000e+000	 7.4120e-019	 2.0000e-096	 7.4120e-019	
 3.5000e-001	 3.0000e+000	 1.0000e+000	 0.0000e+000	 7.0699e-008	 2.0000e-096	 7.0699e-008	
 4.5000e-001	 3.0705e+000	 1.0000e+000	 3.9754e-003	 2.5512e-004	 5.5378e-004	 8.0890e-004	
 5.5000e-001	 3.4319e+000	 1.0704e+000	 2.0377e-002	 6.8017e-004	 3.4127e-003	 4.0928e-003	
 6.5000e-001	 4.1881e+000	 1.4316e+000	 4.7885e-002	 1.0801e-003	 8.5338e-003	 9.6139e-003	
 7.5000e-001	 5.2484e+000	 2.1877e+000	 7.8767e-002	 1.3505e-003	 1.4519e-002	 1.5869e-002	
 8.5000e-001	 6.4378e+000	 3.2480e+000	 1.0650e-001	 1.5019e-003	 2.0064e-002	 2.1566e-002	
 9.5000e-001	 7.5986e+000	 4.4378e+000	 1.2815e-001	 1.5867e-003	 2.4515e-002	 2.6101e-002	
 1.0500e+000	 8.6301e+000	 5.5993e+000	 1.4355e-001	 1.6412e-003	 2.7767e-002	 2.9408e-002	
 1.1000e+000	 8.6301e+000	 6.6316e+000	 1.1484e-001	 1.7220e-003	 2.2351e-002	 2.4073e-002	
 1.2000e+000	 9.4882e+000	 6.6316e+000	 1.5380e-001	 1.6884e-003	 3.0011e-002	 3.1699e-002	
 1.3000e+000	 1.0168e+001	 7.4906e+000	 1.6029e-001	 1.7243e-003	 3.1480e-002	 3.3205e-002	
 1.4000e+000	 1.0687e+001	 8.1713e+000	 1.6426e-001	 1.7564e-003	 3.2422e-002	 3.4178e-002	
 1.5000e+000	 1.0987e+001	 8.6914e+000	 1.6269e-001	 1.7922e-003	 3.2238e-002	 3.4030e-002	
 1.6000e+000	 1.0827e+001	 9.0424e+000	 1.4825e-001	 1.8527e-003	 2.9464e-002	 3.1317e-002	
 1.7000e+000	 1.0104e+001	 9.1467e+000	 1.2239e-001	 1.9570e-003	 2.4373e-002	 2.6330e-002	
 1.8000e+000	 8.9494e+000	 8.9798e+000	 9.2424e-002	 2.1254e-003	 1.8428e-002	 2.0553e-002	
 1.9000e+000	 7.5939e+000	 8.5948e+000	 6.4909e-002	 2.3878e-003	 1.2951e-002	 1.5338e-002	
 2.0000e+000	 6.2426e+000	 8.0785e+000	 4.3053e-002	 2.7873e-003	 8.5949e-003	 1.1382e-002	
 2.1000e+000	 5.0276e+000	 7.5167e+000	 2.7308e-002	 3.3785e-003	 5.4561e-003	 8.8346e-003	
 2.2000e+000	 4.0099e+000	 6.9796e+000	 1.8084e-002	 4.2124e-003	 3.6171e-003	 7.8295e-003	
 2.3000e+000	 3.1998e+000	 6.5196e+000	 2.8138e-002	 5.2667e-003	 5.6295e-003	 1.0896e-002	
 2.4000e+000	 2.5792e+000	 6.1748e+000	 5.9475e-002	 6.3378e-003	 1.1870e-002	 1.8208e-002	
 2.5000e+000	 2.1172e+000	 5.9732e+000	 1.0795e-001	 7.0983e-003	 2.1412e-002	 2.8510e-002	
 2.6000e+000	 1.7810e+000	 5.9375e+000	 1.8695e-001	 7.3287e-003	 3.6716e-002	 4.4045e-002	
 2.7000e+000	 1.5405e+000	 6.0887e+000	 3.0463e-001	 6.9010e-003	 5.8954e-002	 6.5855e-002	
 2.8000e+000	 1.3711e+000	 6.4497e+000	 4.1239e-001	 6.2843e-003	 7.8550e-002	 8.4834e-002	
 2.9000e+000	 1.2530e+000	 7.0481e+000	 6.5517e-001	 5.2221e-003	 1.2166e-001	 1.2688e-001	
 3.0000e+000	 1.1716e+000	 7.9186e+000	 7.7933e-001	 4.5770e-003	 1.4195e-001	 1.4653e-001	
 3.1000e+000	 1.1159e+000	 9.1058e+000	 1.2529e+000	 3.6135e-003	 2.2050e-001	 2.2412e-001	
 3.2000e+000	 1.0781e+000	 1.0667e+001	 1.6783e+000	 2.9739e-003	 2.8648e-001	 2.8946e-001	
 3.3000e+000	 1.0526e+000	 1.2676e+001	 1.0168e+000	 2.7547e-003	 1.7291e-001	 1.7567e-001	
 3.4000e+000	 1.0354e+000	 1.5225e+001	 6.4535e-001	 2.4643e-003	 1.0918e-001	 1.1165e-001	
 3.5000e+000	 1.0238e+000	 1.8431e+001	 4.1553e-001	 2.1219e-003	 6.9842e-002	 7.1964e-002	
 3.6000e+000	 1.0160e+000	 2.2442e+001	 2.6923e-001	 1.7653e-003	 4.4900e-002	 4.6665e-002	
 3.7000e+000	 1.0107e+000	 2.7441e+001	 1.7495e-001	 1.4273e-003	 2.8918e-002	 3.0345e-002	
 3.8000e+000	 1.0071e+000	 3.3657e+001	 1.1385e-001	 1.1308e-003	 1.8628e-002	 1.9759e-002	
 3.9000e+000	 1.0048e+000	 4.1377e+001	 7.4131e-002	 8.8704e-004	 1.1985e-002	 1.2872e-002	
 4.0000e+000	 1.0032e+000	 5.0956e+001	 4.8279e-002	 6.9645e-004	 7.6908e-003	 8.3872e-003	
 4.1000e+000	 1.0021e+000	 6.2836e+001	 3.1441e-002	 5.5153e-004	 4.9129e-003	 5.4644e-003	
