No	PHREEQC-2
 1	1.0012e+00
 2	1.0007e+00
 3	1.0012e+00
 4	1.0017e+00
 5	1.0022e+00
 6	1.0018e+00
 7	1.0013e+00
 8	1.0009e+00
 9	1.0012e+00
10	1.0016e+00
11	1.0021e+00
12	1.0011e+00
13	1.0008e+00
14	1.0011e+00
15	1.0017e+00
16	1.0023e+00
17	1.0007e+00
18	1.0011e+00
19	1.0016e+00
20	1.0020e+00
21	9.9998e-01
22	1.0006e+00
23	1.0005e+00
24	1.0001e+00
25	1.0013e+00
26	9.9991e-01
27	9.9994e-01
28	1.0001e+00
29	9.9995e-01
30	9.9987e-01
31	9.9993e-01
32	9.9998e-01
33	9.9991e-01
34	1.0021e+00
35	9.9999e-01
36	1.0000e+00
37	9.9998e-01
38	9.9993e-01
39	9.9994e-01
40	1.0006e+00
41	1.0010e+00
42	1.0016e+00
43	1.0019e+00
44	1.0000e+00
45	9.9980e-01
46	1.0001e+00
47	9.9970e-01
48	1.0000e+00
49	1.0000e+00
50	9.9992e-01
51	1.0005e+00
52	1.0022e+00
53	1.0006e+00
54	1.0009e+00
55	1.0015e+00
56	1.0017e+00
57	9.9970e-01
58	9.9982e-01
59	9.9993e-01
60	1.0008e+00
