     conc_Cl	       EC_20	           I	
  6.9724e-02	  7.3053e+03	  6.9724e-02	
  1.3983e-01	  1.4079e+04	  1.3983e-01	
  2.1173e-01	  2.0769e+04	  2.1173e-01	
  2.8404e-01	  2.7333e+04	  2.8404e-01	
  3.5818e-01	  3.3944e+04	  3.5818e-01	
  4.3131e-01	  3.9423e+04	  4.3131e-01	
  5.0630e-01	  4.4663e+04	  5.0630e-01	
  5.8318e-01	  4.9703e+04	  5.8318e-01	
  7.3684e-01	  5.8912e+04	  7.3684e-01	
  8.9529e-01	  6.7399e+04	  8.9529e-01	
  1.0572e+00	  7.5203e+04	  1.0572e+00	
  1.1404e+00	  7.8923e+04	  1.1404e+00	
  8.8884e-02	  7.7789e+03	  8.8884e-02	
  1.7992e-01	  1.5161e+04	  1.7992e-01	
  2.6954e-01	  2.2217e+04	  2.6954e-01	
  3.6134e-01	  2.9316e+04	  3.6134e-01	
  4.5533e-01	  3.5490e+04	  4.5533e-01	
  5.4972e-01	  4.1320e+04	  5.4972e-01	
  6.4452e-01	  4.6867e+04	  6.4452e-01	
  7.2139e-01	  5.1177e+04	  7.2139e-01	
  9.1659e-01	  6.1531e+04	  9.1659e-01	
  1.0967e+00	  7.0540e+04	  1.0967e+00	
  1.4671e+00	  8.8197e+04	  1.4671e+00	
  1.8110e+00	  1.0440e+05	  1.8110e+00	
  9.3483e-02	  7.6842e+03	  1.4022e-01	
  1.8941e-01	  1.4687e+04	  2.8411e-01	
  2.8570e-01	  2.1161e+04	  4.2855e-01	
  3.8236e-01	  2.6954e+04	  5.7354e-01	
  4.8151e-01	  3.2534e+04	  7.2226e-01	
  5.8105e-01	  3.7014e+04	  8.7158e-01	
  6.8099e-01	  4.1156e+04	  1.0215e+00	
  7.8346e-01	  4.5120e+04	  1.1752e+00	
  9.9181e-01	  5.2574e+04	  1.4877e+00	
  1.2040e+00	  5.9691e+04	  1.8061e+00	
  1.4225e+00	  6.6863e+04	  2.1337e+00	
  1.7603e+00	  7.8327e+04	  2.6404e+00	
  1.0901e-01	  8.5503e+03	  1.6352e-01	
  2.2050e-01	  1.6422e+04	  3.3075e-01	
  4.4439e-01	  2.9823e+04	  6.6659e-01	
  6.7393e-01	  4.0482e+04	  1.0109e+00	
  9.0696e-01	  4.9882e+04	  1.3604e+00	
  1.1480e+00	  5.9171e+04	  1.7220e+00	
  1.3927e+00	  6.8790e+04	  2.0891e+00	
  1.6434e+00	  7.9450e+04	  2.4652e+00	
  1.8979e+00	  9.1765e+04	  2.8469e+00	
  2.1585e+00	  1.0675e+05	  3.2378e+00	
  4.6004e-02	  3.6929e+03	  1.0322e-01	
  9.3035e-02	  6.2216e+03	  1.8794e-01	
  1.8835e-01	  1.0432e+04	  3.4012e-01	
  2.8596e-01	  1.4119e+04	  4.7971e-01	
  3.8592e-01	  1.7513e+04	  6.1081e-01	
  4.8823e-01	  2.0570e+04	  7.3546e-01	
  5.9295e-01	  2.2424e+04	  8.5491e-01	
  7.0104e-01	  2.4060e+04	  9.7099e-01	
  8.1066e-01	  2.5511e+04	  1.0823e+00	
  1.0393e+00	  2.8085e+04	  1.2974e+00	

  9.3300e-02	  6.7822e+03	  1.7709e-01	
  1.8750e-01	  1.2377e+04	  3.4391e-01	
  2.8350e-01	  1.6978e+04	  5.0519e-01	
  3.8040e-01	  2.0937e+04	  6.6104e-01	
  4.8000e-01	  2.4434e+04	  8.1536e-01	
  5.8080e-01	  2.7486e+04	  9.6653e-01	
  6.8310e-01	  3.0057e+04	  1.1156e+00	
  7.8750e-01	  3.1863e+04	  1.2639e+00	
  8.9370e-01	  3.3401e+04	  1.4114e+00	
