        dist	          Cl	        Su_a	        Su_b	       Hfo_w	       Hfo_s	
  5.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.5000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  2.5000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  3.5000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  5.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.5000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  2.5000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  3.5000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  5.0000e-01	  4.6803e-01	  4.6803e-01	  4.6803e-01	  0.0000e+00	  0.0000e+00	
  5.0000e-01	  4.6803e-01	  4.6803e-01	  4.6803e-01	  0.0000e+00	  0.0000e+00	
  1.5000e+00	  3.1291e-02	  3.1292e-02	  3.1292e-02	  0.0000e+00	  0.0000e+00	
  1.5000e+00	  3.1292e-02	  3.1292e-02	  3.1292e-02	  0.0000e+00	  0.0000e+00	
  2.5000e+00	  6.7127e-04	  6.7130e-04	  6.7130e-04	  0.0000e+00	  0.0000e+00	
  2.5000e+00	  6.7134e-04	  6.7130e-04	  6.7130e-04	  0.0000e+00	  0.0000e+00	
  3.5000e+00	  4.6297e-06	  4.6296e-06	  4.6296e-06	  0.0000e+00	  0.0000e+00	
  3.5000e+00	  4.6297e-06	  4.6296e-06	  4.6296e-06	  0.0000e+00	  0.0000e+00	
  5.0000e-01	  7.0976e-01	  7.0955e-01	  7.0955e-01	  0.0000e+00	  0.0000e+00	
  5.0000e-01	  7.0935e-01	  7.0955e-01	  7.0955e-01	  0.0000e+00	  0.0000e+00	
  1.5000e+00	  2.5939e-01	  2.5922e-01	  2.5922e-01	  0.0000e+00	  0.0000e+00	
  1.5000e+00	  2.5905e-01	  2.5922e-01	  2.5922e-01	  0.0000e+00	  0.0000e+00	
  2.5000e+00	  2.9683e-02	  2.9596e-02	  2.9596e-02	  0.0000e+00	  0.0000e+00	
  2.5000e+00	  2.9509e-02	  2.9596e-02	  2.9596e-02	  0.0000e+00	  0.0000e+00	
  3.5000e+00	  1.6424e-03	  1.6297e-03	  1.6297e-03	  0.0000e+00	  0.0000e+00	
  3.5000e+00	  1.6143e-03	  1.6297e-03	  1.6297e-03	  0.0000e+00	  0.0000e+00	
  5.0000e-01	  8.0984e-01	  8.3777e-01	  8.3777e-01	  0.0000e+00	  0.0000e+00	
  5.0000e-01	  8.6594e-01	  8.3777e-01	  8.3777e-01	  0.0000e+00	  0.0000e+00	
  1.5000e+00	  4.5181e-01	  4.8281e-01	  4.8281e-01	  0.0000e+00	  0.0000e+00	
  1.5000e+00	  5.1324e-01	  4.8281e-01	  4.8281e-01	  0.0000e+00	  0.0000e+00	
  2.5000e+00	  1.3061e-01	  1.5485e-01	  1.5485e-01	  0.0000e+00	  0.0000e+00	
  2.5000e+00	  1.7880e-01	  1.5485e-01	  1.5485e-01	  0.0000e+00	  0.0000e+00	
  3.5000e+00	  1.4300e-02	  2.3749e-02	  2.3749e-02	  0.0000e+00	  0.0000e+00	
  3.5000e+00	  3.3805e-02	  2.3749e-02	  2.3749e-02	  0.0000e+00	  0.0000e+00	
