        cell	          Cl	        Su_a	        Su_b	       Hfo_w	       Hfo_s	
  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.0000e+00	  0.0000e+00	  0.0000e+00	
  2.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  4.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  5.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  8.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  8.9253e-01	  8.9253e-01	  8.9253e-01	  0.0000e+00	  0.0000e+00	
  4.0000e+00	  1.0295e-01	  1.0295e-01	  1.0295e-01	  0.0000e+00	  0.0000e+00	
  6.0000e+00	  3.5014e-03	  3.5014e-03	  3.5014e-03	  0.0000e+00	  0.0000e+00	
  8.0000e+00	  7.0028e-03	  7.0028e-03	  7.0028e-03	  0.0000e+00	  0.0000e+00	
  2.0000e+00	  5.0924e-02	  5.0924e-02	  5.0924e-02	  0.0000e+00	  0.0000e+00	
  5.0000e+00	  3.1292e-03	  3.1292e-03	  3.1292e-03	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  8.0465e-01	  8.0465e-01	  8.0465e-01	  0.0000e+00	  0.0000e+00	
  4.0000e+00	  1.6372e-01	  1.6372e-01	  1.6372e-01	  0.0000e+00	  0.0000e+00	
  6.0000e+00	  1.7134e-02	  1.7134e-02	  1.7134e-02	  0.0000e+00	  0.0000e+00	
  8.0000e+00	  3.2761e-02	  3.2761e-02	  3.2761e-02	  0.0000e+00	  0.0000e+00	
  2.0000e+00	  9.1994e-02	  9.1995e-02	  9.1995e-02	  0.0000e+00	  0.0000e+00	
  5.0000e+00	  9.4744e-03	  9.4745e-03	  9.4745e-03	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  7.3157e-01	  7.3158e-01	  7.3158e-01	  0.0000e+00	  0.0000e+00	
  4.0000e+00	  2.0054e-01	  2.0054e-01	  2.0054e-01	  0.0000e+00	  0.0000e+00	
  6.0000e+00	  3.5434e-02	  3.5434e-02	  3.5434e-02	  0.0000e+00	  0.0000e+00	
  8.0000e+00	  6.4781e-02	  6.4781e-02	  6.4781e-02	  0.0000e+00	  0.0000e+00	
  2.0000e+00	  1.2519e-01	  1.2519e-01	  1.2519e-01	  0.0000e+00	  0.0000e+00	
  5.0000e+00	  1.8112e-02	  1.8112e-02	  1.8112e-02	  0.0000e+00	  0.0000e+00	
