          PV	          Cl	         SAR	         Hfo	       U_sol	       U_col	       U_tot	
  5.0000e-02	  3.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.0000e-96	  2.0000e-96	
  1.5000e-01	  3.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.0000e-96	  2.0000e-96	
  2.5000e-01	  3.0000e+00	  1.0000e+00	  0.0000e+00	  7.4120e-19	  2.0000e-96	  7.4120e-19	
  3.5000e-01	  3.0000e+00	  1.0000e+00	  0.0000e+00	  7.0705e-08	  2.0000e-96	  7.0705e-08	
  4.5000e-01	  3.0705e+00	  1.0000e+00	  3.9754e-03	  2.5514e-04	  5.5380e-04	  8.0894e-04	
  5.5000e-01	  3.4319e+00	  1.0704e+00	  2.0377e-02	  6.8026e-04	  3.4128e-03	  4.0930e-03	
  6.5000e-01	  4.1881e+00	  1.4316e+00	  4.7885e-02	  1.0803e-03	  8.5340e-03	  9.6142e-03	
  7.5000e-01	  5.2484e+00	  2.1877e+00	  7.8767e-02	  1.3506e-03	  1.4519e-02	  1.5870e-02	
  8.5000e-01	  6.4378e+00	  3.2480e+00	  1.0650e-01	  1.5020e-03	  2.0065e-02	  2.1567e-02	
  9.5000e-01	  7.5986e+00	  4.4378e+00	  1.2815e-01	  1.5867e-03	  2.4516e-02	  2.6102e-02	
  1.0500e+00	  8.6301e+00	  5.5993e+00	  1.4355e-01	  1.6412e-03	  2.7768e-02	  2.9409e-02	
  1.1000e+00	  8.6301e+00	  6.6316e+00	  1.1484e-01	  1.7221e-03	  2.2351e-02	  2.4073e-02	
  1.2000e+00	  9.4882e+00	  6.6316e+00	  1.5380e-01	  1.6884e-03	  3.0012e-02	  3.1700e-02	
  1.3000e+00	  1.0168e+01	  7.4906e+00	  1.6029e-01	  1.7243e-03	  3.1482e-02	  3.3206e-02	
  1.4000e+00	  1.0687e+01	  8.1713e+00	  1.6426e-01	  1.7563e-03	  3.2423e-02	  3.4179e-02	
  1.5000e+00	  1.0987e+01	  8.6914e+00	  1.6269e-01	  1.7921e-03	  3.2239e-02	  3.4031e-02	
  1.6000e+00	  1.0827e+01	  9.0424e+00	  1.4825e-01	  1.8526e-03	  2.9465e-02	  3.1318e-02	
  1.7000e+00	  1.0104e+01	  9.1467e+00	  1.2239e-01	  1.9569e-03	  2.4374e-02	  2.6331e-02	
  1.8000e+00	  8.9494e+00	  8.9798e+00	  9.2424e-02	  2.1254e-03	  1.8428e-02	  2.0554e-02	
  1.9000e+00	  7.5939e+00	  8.5948e+00	  6.4909e-02	  2.3878e-03	  1.2951e-02	  1.5339e-02	
  2.0000e+00	  6.2426e+00	  8.0785e+00	  4.3053e-02	  2.7873e-03	  8.5952e-03	  1.1382e-02	
  2.1000e+00	  5.0276e+00	  7.5167e+00	  2.7308e-02	  3.3786e-03	  5.4563e-03	  8.8349e-03	
  2.2000e+00	  4.0099e+00	  6.9796e+00	  1.8084e-02	  4.2125e-03	  3.6172e-03	  7.8297e-03	
  2.3000e+00	  3.1998e+00	  6.5196e+00	  2.8138e-02	  5.2670e-03	  5.6297e-03	  1.0897e-02	
  2.4000e+00	  2.5792e+00	  6.1748e+00	  5.9475e-02	  6.3385e-03	  1.1871e-02	  1.8209e-02	
  2.5000e+00	  2.1172e+00	  5.9732e+00	  1.0795e-01	  7.0994e-03	  2.1412e-02	  2.8512e-02	
  2.6000e+00	  1.7810e+00	  5.9375e+00	  1.8695e-01	  7.3303e-03	  3.6717e-02	  4.4048e-02	
  2.7000e+00	  1.5405e+00	  6.0887e+00	  3.0463e-01	  6.9027e-03	  5.8956e-02	  6.5859e-02	
  2.8000e+00	  1.3711e+00	  6.4497e+00	  4.1239e-01	  6.2861e-03	  7.8552e-02	  8.4838e-02	
  2.9000e+00	  1.2530e+00	  7.0481e+00	  6.5517e-01	  5.2238e-03	  1.2166e-01	  1.2688e-01	
  3.0000e+00	  1.1716e+00	  7.9186e+00	  7.7933e-01	  4.5786e-03	  1.4195e-01	  1.4653e-01	
  3.1000e+00	  1.1159e+00	  9.1058e+00	  1.2529e+00	  3.6148e-03	  2.2051e-01	  2.2412e-01	
  3.2000e+00	  1.0781e+00	  1.0667e+01	  1.6783e+00	  2.9750e-03	  2.8649e-01	  2.8946e-01	
  3.3000e+00	  1.0526e+00	  1.2676e+01	  1.0168e+00	  2.7558e-03	  1.7292e-01	  1.7567e-01	
  3.4000e+00	  1.0354e+00	  1.5225e+01	  6.4535e-01	  2.4654e-03	  1.0919e-01	  1.1165e-01	
  3.5000e+00	  1.0238e+00	  1.8431e+01	  4.1553e-01	  2.1229e-03	  6.9843e-02	  7.1966e-02	
  3.6000e+00	  1.0160e+00	  2.2442e+01	  2.6923e-01	  1.7661e-03	  4.4901e-02	  4.6667e-02	
  3.7000e+00	  1.0107e+00	  2.7441e+01	  1.7495e-01	  1.4280e-03	  2.8918e-02	  3.0346e-02	
  3.8000e+00	  1.0071e+00	  3.3657e+01	  1.1385e-01	  1.1314e-03	  1.8628e-02	  1.9759e-02	
  3.9000e+00	  1.0048e+00	  4.1377e+01	  7.4131e-02	  8.8741e-04	  1.1985e-02	  1.2873e-02	
  4.0000e+00	  1.0032e+00	  5.0956e+01	  4.8279e-02	  6.9670e-04	  7.6908e-03	  8.3875e-03	
  4.1000e+00	  1.0021e+00	  6.2836e+01	  3.1441e-02	  5.5168e-04	  4.9129e-03	  5.4645e-03	
