           D	         18O	         13C	         14C	 18O_calcite	 13C_calcite	 14C_calcite	
 -4.0000e+01	 -5.0083e+00	 -2.1564e+01	  8.8277e+01	 -1.0000e+03	 -1.0000e+03	 -1.0000e+03	
 -4.0000e+01	 -5.0074e+00	 -1.8901e+01	  7.8346e+01	 -1.0000e+03	 -1.0000e+03	 -1.0000e+03	
 -4.0000e+01	 -5.0064e+00	 -1.6776e+01	  7.0424e+01	 -1.0000e+03	 -1.0000e+03	 -1.0000e+03	
 -4.0000e+01	 -5.0055e+00	 -1.5042e+01	  6.3957e+01	 -1.0000e+03	 -1.0000e+03	 -1.0000e+03	
 -4.0000e+01	 -5.0047e+00	 -1.3631e+01	  5.8574e+01	  2.3640e+01	 -1.0214e+01	  5.8980e+01	
 -4.0000e+01	 -5.0046e+00	 -1.2667e+01	  5.3960e+01	  2.3640e+01	 -9.2460e+00	  5.4334e+01	
 -4.0000e+01	 -5.0044e+00	 -1.1779e+01	  4.9710e+01	  2.3640e+01	 -8.3543e+00	  5.0055e+01	
 -4.0000e+01	 -5.0043e+00	 -1.0960e+01	  4.5795e+01	  2.3640e+01	 -7.5327e+00	  4.6112e+01	
 -4.0000e+01	 -5.0041e+00	 -1.0205e+01	  4.2187e+01	  2.3640e+01	 -6.7756e+00	  4.2480e+01	
 -4.0000e+01	 -5.0040e+00	 -9.5100e+00	  3.8864e+01	  2.3640e+01	 -6.0779e+00	  3.9134e+01	
 -4.0000e+01	 -5.0039e+00	 -8.8693e+00	  3.5803e+01	  2.3641e+01	 -5.4350e+00	  3.6051e+01	
 -4.0000e+01	 -5.0037e+00	 -8.2789e+00	  3.2983e+01	  2.3641e+01	 -4.8426e+00	  3.3212e+01	
 -4.0000e+01	 -5.0036e+00	 -7.7349e+00	  3.0385e+01	  2.3641e+01	 -4.2967e+00	  3.0596e+01	
 -4.0000e+01	 -5.0034e+00	 -7.2336e+00	  2.7991e+01	  2.3641e+01	 -3.7936e+00	  2.8186e+01	
 -4.0000e+01	 -5.0033e+00	 -6.7716e+00	  2.5787e+01	  2.3641e+01	 -3.3300e+00	  2.5965e+01	
 -4.0000e+01	 -5.0032e+00	 -6.3459e+00	  2.3755e+01	  2.3641e+01	 -2.9029e+00	  2.3920e+01	
 -4.0000e+01	 -5.0030e+00	 -5.9536e+00	  2.1884e+01	  2.3641e+01	 -2.5092e+00	  2.2036e+01	
 -4.0000e+01	 -5.0029e+00	 -5.5922e+00	  2.0160e+01	  2.3642e+01	 -2.1465e+00	  2.0300e+01	
 -4.0000e+01	 -5.0027e+00	 -5.2591e+00	  1.8572e+01	  2.3642e+01	 -1.8123e+00	  1.8701e+01	
 -4.0000e+01	 -5.0026e+00	 -4.9521e+00	  1.7109e+01	  2.3642e+01	 -1.5043e+00	  1.7228e+01	
 -4.0000e+01	 -5.0025e+00	 -4.6693e+00	  1.5762e+01	  2.3642e+01	 -1.2205e+00	  1.5871e+01	
 -4.0000e+01	 -5.0023e+00	 -4.4087e+00	  1.4520e+01	  2.3642e+01	 -9.5892e-01	  1.4621e+01	
 -4.0000e+01	 -5.0022e+00	 -4.1685e+00	  1.3376e+01	  2.3642e+01	 -7.1792e-01	  1.3469e+01	
 -4.0000e+01	 -5.0021e+00	 -3.9472e+00	  1.2323e+01	  2.3642e+01	 -4.9585e-01	  1.2408e+01	
 -4.0000e+01	 -5.0019e+00	 -3.7433e+00	  1.1352e+01	  2.3643e+01	 -2.9121e-01	  1.1431e+01	
 -4.0000e+01	 -5.0018e+00	 -3.5554e+00	  1.0458e+01	  2.3643e+01	 -1.0264e-01	  1.0530e+01	
 -4.0000e+01	 -5.0016e+00	 -3.3822e+00	  9.6338e+00	  2.3643e+01	  7.1121e-02	  9.7006e+00	
 -4.0000e+01	 -5.0015e+00	 -3.2226e+00	  8.8749e+00	  2.3643e+01	  2.3125e-01	  8.9365e+00	
 -4.0000e+01	 -5.0014e+00	 -3.0756e+00	  8.1758e+00	  2.3643e+01	  3.7880e-01	  8.2325e+00	
 -4.0000e+01	 -5.0012e+00	 -2.9401e+00	  7.5318e+00	  2.3643e+01	  5.1476e-01	  7.5840e+00	
 -4.0000e+01	 -5.0011e+00	 -2.8152e+00	  6.9385e+00	  2.3643e+01	  6.4004e-01	  6.9866e+00	
 -4.0000e+01	 -5.0009e+00	 -2.7002e+00	  6.3919e+00	  2.3644e+01	  7.5549e-01	  6.4362e+00	
 -4.0000e+01	 -5.0008e+00	 -2.5942e+00	  5.8884e+00	  2.3644e+01	  8.6188e-01	  5.9292e+00	
 -4.0000e+01	 -5.0007e+00	 -2.4965e+00	  5.4245e+00	  2.3644e+01	  9.5991e-01	  5.4621e+00	
 -4.0000e+01	 -5.0005e+00	 -2.4065e+00	  4.9972e+00	  2.3644e+01	  1.0502e+00	  5.0319e+00	
 -4.0000e+01	 -5.0004e+00	 -2.3235e+00	  4.6036e+00	  2.3644e+01	  1.1335e+00	  4.6355e+00	
 -4.0000e+01	 -5.0002e+00	 -2.2471e+00	  4.2409e+00	  2.3644e+01	  1.2102e+00	  4.2703e+00	
 -4.0000e+01	 -5.0001e+00	 -2.1766e+00	  3.9069e+00	  2.3644e+01	  1.2809e+00	  3.9339e+00	
 -4.0000e+01	 -5.0000e+00	 -2.1117e+00	  3.5991e+00	  2.3645e+01	  1.3460e+00	  3.6240e+00	
 -4.0000e+01	 -4.9998e+00	 -2.0519e+00	  3.3156e+00	  2.3645e+01	  1.4060e+00	  3.3386e+00	
 -4.0000e+01	 -4.9997e+00	 -1.9968e+00	  3.0544e+00	  2.3645e+01	  1.4613e+00	  3.0756e+00	
 -4.0000e+01	 -4.9996e+00	 -1.9460e+00	  2.8138e+00	  2.3645e+01	  1.5123e+00	  2.8333e+00	
 -4.0000e+01	 -4.9994e+00	 -1.8992e+00	  2.5921e+00	  2.3645e+01	  1.5592e+00	  2.6101e+00	
 -4.0000e+01	 -4.9993e+00	 -1.8561e+00	  2.3879e+00	  2.3645e+01	  1.6025e+00	  2.4045e+00	
 -4.0000e+01	 -4.9991e+00	 -1.8163e+00	  2.1998e+00	  2.3645e+01	  1.6424e+00	  2.2151e+00	
 -4.0000e+01	 -4.9990e+00	 -1.7797e+00	  2.0265e+00	  2.3646e+01	  1.6791e+00	  2.0406e+00	
 -4.0000e+01	 -4.9989e+00	 -1.7460e+00	  1.8669e+00	  2.3646e+01	  1.7130e+00	  1.8798e+00	
 -4.0000e+01	 -4.9987e+00	 -1.7149e+00	  1.7198e+00	  2.3646e+01	  1.7442e+00	  1.7318e+00	
 -4.0000e+01	 -4.9986e+00	 -1.6862e+00	  1.5844e+00	  2.3646e+01	  1.7729e+00	  1.5953e+00	
 -4.0000e+01	 -4.9984e+00	 -1.6598e+00	  1.4595e+00	  2.3646e+01	  1.7994e+00	  1.4697e+00	
 -4.0000e+01	 -4.9983e+00	 -1.6355e+00	  1.3446e+00	  2.3646e+01	  1.8239e+00	  1.3539e+00	
 -4.0000e+01	 -4.9982e+00	 -1.6131e+00	  1.2387e+00	  2.3646e+01	  1.8463e+00	  1.2472e+00	
 -4.0000e+01	 -4.9980e+00	 -1.5924e+00	  1.1411e+00	  2.3647e+01	  1.8671e+00	  1.1490e+00	
 -4.0000e+01	 -4.9979e+00	 -1.5734e+00	  1.0512e+00	  2.3647e+01	  1.8862e+00	  1.0585e+00	
 -4.0000e+01	 -4.9977e+00	 -1.5559e+00	  9.6838e-01	  2.3647e+01	  1.9038e+00	  9.7510e-01	
 -4.0000e+01	 -4.9976e+00	 -1.5397e+00	  8.9210e-01	  2.3647e+01	  1.9200e+00	  8.9828e-01	
 -4.0000e+01	 -4.9975e+00	 -1.5248e+00	  8.2183e-01	  2.3647e+01	  1.9349e+00	  8.2752e-01	
 -4.0000e+01	 -4.9973e+00	 -1.5111e+00	  7.5709e-01	  2.3647e+01	  1.9487e+00	  7.6233e-01	
 -4.0000e+01	 -4.9972e+00	 -1.4984e+00	  6.9745e-01	  2.3647e+01	  1.9614e+00	  7.0228e-01	
 -4.0000e+01	 -4.9970e+00	 -1.4868e+00	  6.4251e-01	  2.3648e+01	  1.9731e+00	  6.4696e-01	
 -4.0000e+01	 -4.9969e+00	 -1.4760e+00	  5.9189e-01	  2.3648e+01	  1.9839e+00	  5.9599e-01	
 -4.0000e+01	 -4.9968e+00	 -1.4661e+00	  5.4527e-01	  2.3648e+01	  1.9938e+00	  5.4905e-01	
 -4.0000e+01	 -4.9966e+00	 -1.4570e+00	  5.0231e-01	  2.3648e+01	  2.0030e+00	  5.0579e-01	
 -4.0000e+01	 -4.9965e+00	 -1.4486e+00	  4.6274e-01	  2.3648e+01	  2.0114e+00	  4.6595e-01	
 -4.0000e+01	 -4.9964e+00	 -1.4409e+00	  4.2629e-01	  2.3648e+01	  2.0192e+00	  4.2925e-01	
 -4.0000e+01	 -4.9962e+00	 -1.4337e+00	  3.9271e-01	  2.3648e+01	  2.0263e+00	  3.9543e-01	
 -4.0000e+01	 -4.9961e+00	 -1.4272e+00	  3.6177e-01	  2.3649e+01	  2.0329e+00	  3.6428e-01	
 -4.0000e+01	 -4.9959e+00	 -1.4211e+00	  3.3328e-01	  2.3649e+01	  2.0390e+00	  3.3559e-01	
 -4.0000e+01	 -4.9958e+00	 -1.4155e+00	  3.0702e-01	  2.3649e+01	  2.0446e+00	  3.0915e-01	
 -4.0000e+01	 -4.9957e+00	 -1.4104e+00	  2.8284e-01	  2.3649e+01	  2.0498e+00	  2.8480e-01	
 -4.0000e+01	 -4.9955e+00	 -1.4056e+00	  2.6056e-01	  2.3649e+01	  2.0545e+00	  2.6236e-01	
 -4.0000e+01	 -4.9954e+00	 -1.4013e+00	  2.4003e-01	  2.3649e+01	  2.0589e+00	  2.4169e-01	
 -4.0000e+01	 -4.9952e+00	 -1.3973e+00	  2.2112e-01	  2.3649e+01	  2.0629e+00	  2.2265e-01	
 -4.0000e+01	 -4.9951e+00	 -1.3935e+00	  2.0370e-01	  2.3650e+01	  2.0667e+00	  2.0511e-01	
 -4.0000e+01	 -4.9950e+00	 -1.3901e+00	  1.8766e-01	  2.3650e+01	  2.0701e+00	  1.8896e-01	
 -4.0000e+01	 -4.9948e+00	 -1.3870e+00	  1.7287e-01	  2.3650e+01	  2.0733e+00	  1.7407e-01	
 -4.0000e+01	 -4.9947e+00	 -1.3841e+00	  1.5926e-01	  2.3650e+01	  2.0762e+00	  1.6036e-01	
 -4.0000e+01	 -4.9945e+00	 -1.3814e+00	  1.4671e-01	  2.3650e+01	  2.0788e+00	  1.4773e-01	
 -4.0000e+01	 -4.9944e+00	 -1.3789e+00	  1.3515e-01	  2.3650e+01	  2.0813e+00	  1.3609e-01	
 -4.0000e+01	 -4.9943e+00	 -1.3767e+00	  1.2451e-01	  2.3650e+01	  2.0836e+00	  1.2537e-01	
 -4.0000e+01	 -4.9941e+00	 -1.3746e+00	  1.1470e-01	  2.3651e+01	  2.0857e+00	  1.1549e-01	
 -4.0000e+01	 -4.9940e+00	 -1.3726e+00	  1.0566e-01	  2.3651e+01	  2.0876e+00	  1.0640e-01	
 -4.0000e+01	 -4.9939e+00	 -1.3709e+00	  9.7339e-02	  2.3651e+01	  2.0894e+00	  9.8014e-02	
 -4.0000e+01	 -4.9937e+00	 -1.3692e+00	  8.9672e-02	  2.3651e+01	  2.0911e+00	  9.0293e-02	
 -4.0000e+01	 -4.9936e+00	 -1.3677e+00	  8.2608e-02	  2.3651e+01	  2.0926e+00	  8.3180e-02	
 -4.0000e+01	 -4.9934e+00	 -1.3663e+00	  7.6100e-02	  2.3651e+01	  2.0940e+00	  7.6628e-02	
 -4.0000e+01	 -4.9933e+00	 -1.3651e+00	  7.0105e-02	  2.3651e+01	  2.0953e+00	  7.0591e-02	
 -4.0000e+01	 -4.9932e+00	 -1.3639e+00	  6.4583e-02	  2.3652e+01	  2.0964e+00	  6.5031e-02	
 -4.0000e+01	 -4.9930e+00	 -1.3628e+00	  5.9495e-02	  2.3652e+01	  2.0975e+00	  5.9908e-02	
 -4.0000e+01	 -4.9929e+00	 -1.3618e+00	  5.4809e-02	  2.3652e+01	  2.0985e+00	  5.5189e-02	
