m_KCl	KCl
0.0010	0.8903
0.0020	0.8903
0.0025	0.8904
0.0049	0.8903
0.0050	0.8904
0.0098	0.8905
0.0100	0.8905
0.0200	0.8906
0.0214	0.8907
0.0251	0.8906
0.0400	0.8908
0.0401	0.8906
0.0492	0.8906
0.0500	0.8904
0.0502	0.8906
0.0590	0.8906
0.0754	0.8904
0.0900	0.8907
0.0955	0.8905
0.0984	0.8904
0.0999	0.8902
0.1000	0.8905
0.1004	0.8906
0.1005	0.8904
0.1016	0.8904
0.1217	0.8903
0.1340	0.8902
0.1487	0.8902
0.1597	0.8903
0.1600	0.8911
0.1731	0.8900
0.1826	0.8902
0.1991	0.8898
0.2015	0.8898
0.2500	0.8895
0.2500	0.8895
0.2743	0.8895
0.3197	0.8891
0.3297	0.8895
0.4000	0.8891
0.4123	0.8889
0.4478	0.8875
0.4944	0.8882
0.4985	0.8875
0.5000	0.8885
0.5031	0.8883
0.5041	0.8872
0.5081	0.8874
0.5090	0.8893
0.5184	0.8886
0.5331	0.8884
0.7000	0.8885
0.7045	0.8883
0.7069	0.8875
0.7485	0.8879
0.9028	0.8857
0.9477	0.8877
0.9540	0.8924
0.9887	0.8884
0.9910	0.8881
1.0000	0.8875
1.0000	0.8882
1.0160	0.8882
1.0241	0.8882
1.0330	0.8893
1.0490	0.8882
1.2173	0.8883
1.2968	0.8885
1.3584	0.8890
1.3653	0.8866
1.4139	0.8893
1.4690	0.8911
1.5052	0.8893
1.5469	0.8910
1.5740	0.8937
1.7032	0.8917
1.7218	0.8915
1.7758	0.8923
1.8354	0.8902
2.0000	0.8946
2.0013	0.8964
2.0476	0.8969
2.0910	0.8962
2.1060	0.8963
2.1067	0.8972
2.1330	0.8991
2.2846	0.8987
2.3134	0.8964
2.4240	0.9007
2.4968	0.9033
2.5002	0.9000
2.6040	0.9038
2.7069	0.9020
2.7252	0.9079
2.7977	0.9076
2.7994	0.9044
3.0000	0.9115
3.0013	0.9130
3.0016	0.9142
3.2937	0.9160
3.3058	0.9140
3.3100	0.9222
3.3554	0.9204
3.4216	0.9238
3.4934	0.9239
3.4991	0.9231
3.5010	0.9320
3.5327	0.9251
3.5347	0.9258
3.5485	0.9251
3.7964	0.9311
3.9180	0.9353
3.9303	0.9377
3.9487	0.9368
3.9560	0.9363
3.9618	0.9386
3.9925	0.9356
4.0000	0.9379
4.1530	0.9445
4.2720	0.9465
4.3077	0.9498
4.5547	0.9576
4.5870	0.9551
4.6030	0.9582
4.6934	0.9613
4.8280	0.9730
