m_MgSO4	MgSO4
0.0001	0.8903
0.0001	0.8904
0.0002	0.8905
0.0003	0.8906
0.0004	0.8907
0.0005	0.8907
0.0005	0.8909
0.0006	0.8908
0.0006	0.8908
0.0006	0.8908
0.0007	0.8911
0.0010	0.8915
0.0010	0.8911
0.0010	0.8913
0.0014	0.8920
0.0014	0.8915
0.0020	0.8927
0.0020	0.8920
0.0025	0.8925
0.0026	0.8934
0.0026	0.8923
0.0034	0.8944
0.0034	0.8929
0.0042	0.8955
0.0042	0.8936
0.0050	0.8943
0.0052	0.8966
0.0052	0.8944
0.0100	0.8975
0.0201	0.9037
0.0250	0.9062
0.0401	0.9154
0.0500	0.9209
0.0501	0.9212
0.1000	0.9509
0.1003	0.9497
0.1770	0.9970
0.2006	1.0057
0.3539	1.1154
0.5000	1.2251
0.6143	1.3317
0.8848	1.5783
1.0000	1.7089
1.2368	2.0287
1.4890	2.3901
1.5000	2.4270
1.8725	3.2260
2.0000	3.4900
2.0768	3.6586
2.5000	5.1920
2.5094	5.1630
2.5304	5.2805
2.7838	6.4626
3.0569	8.0916
