m_MgCl2	MgCl2
0.003	0.892
0.005	0.893
0.010	0.895
0.012	0.899
0.020	0.899
0.030	0.903
0.040	0.906
0.048	0.909
0.050	0.911
0.090	0.924
0.092	0.926
0.099	0.924
0.100	0.930
0.115	0.959
0.161	0.949
0.205	0.962
0.287	0.998
0.295	0.992
0.360	1.051
0.393	1.030
0.462	1.066
0.495	1.071
0.500	1.085
0.527	1.109
0.652	1.144
0.653	1.139
0.734	1.198
0.882	1.240
0.912	1.262
1.000	1.314
1.171	1.394
1.389	1.498
1.491	1.579
1.537	1.630
1.741	1.742
1.882	1.846
2.000	1.950
2.037	1.978
2.069	1.985
2.129	2.070
2.470	2.378
2.491	2.362
2.849	2.784
2.861	2.760
2.962	2.884
3.000	2.937
3.011	3.013
3.016	3.024
3.262	3.281
3.435	3.680
3.749	4.044
3.764	4.330
3.803	4.192
4.000	4.603
4.004	4.656
4.042	5.005
4.243	5.185
4.272	5.259
4.413	6.100
4.429	6.155
4.718	6.621
4.775	7.384
4.954	7.655
5.000	7.752
5.164	8.471
5.379	9.820
5.434	9.827
5.674	11.506
5.680	11.359
5.755	11.982
5.811	12.810

0.100		0.933
0.506		1.069
1.024		1.295
1.555		1.587
2.101		1.900
2.665		2.462
3.249		3.156
3.856		4.082
4.481		5.439
5.003		8.336
5.300		9.855
5.501		12.081
5.835		10.910
