m_NaCl	NaCl
0.0010	0.8903
0.0010	0.8904
0.0020	0.8904
0.0020	0.8905
0.0050	0.8908
0.0050	0.8909
0.0078	0.8910
0.0100	0.8912
0.0100	0.8914
0.0129	0.8921
0.0160	0.8920
0.0199	0.8923
0.0201	0.8924
0.0203	0.8924
0.0234	0.8928
0.0250	0.8929
0.0275	0.8931
0.0280	0.8932
0.0439	0.8945
0.0475	0.8947
0.0500	0.8949
0.0500	0.8952
0.0525	0.8954
0.0576	0.8957
0.0618	0.8960
0.0632	0.8963
0.0750	0.8970
0.0794	0.8974
0.0933	0.8984
0.0986	0.8987
0.0996	0.8991
0.0999	0.8991
0.1000	0.8981
0.1000	0.8994
0.1005	0.8991
0.1005	0.8991
0.1109	0.9002
0.1124	0.9002
0.1250	0.9011
0.1435	0.9027
0.1486	0.9030
0.1500	0.9031
0.1554	0.9037
0.1648	0.9042
0.1735	0.9052
0.1750	0.9049
0.2000	0.9065
0.2000	0.9069
0.2013	0.9070
0.2187	0.9088
0.2363	0.9098
0.2499	0.9111
0.2501	0.9106
0.3200	0.9164
0.3395	0.9182
0.3495	0.9190
0.4040	0.9230
0.4057	0.9237
0.4476	0.9272
0.4478	0.9272
0.4687	0.9362
0.4971	0.9288
0.5000	0.9303
0.5000	0.9319
0.5000	0.9311
0.5002	0.9311
0.5060	0.9311
0.5062	0.9338
0.5062	0.9311
0.5062	0.9302
0.5614	0.9367
0.7023	0.9488
0.7069	0.9480
0.7198	0.9500
0.7244	0.9506
0.8000	0.9571
0.8538	0.9607
0.8636	0.9626
0.9807	0.9732
0.9865	0.9709
0.9997	0.9738
1.0000	0.9732
1.0000	0.9738
1.0034	0.9752
1.0221	0.9738
1.0221	0.9756
1.0221	0.9756
1.0941	0.9810
1.2000	0.9928
1.3174	1.0048
1.4138	1.0130
1.4713	1.0240
1.4746	1.0186
1.5487	1.0308
1.5854	1.0312
1.6654	1.0397
1.6728	1.0410
1.8995	1.0653
1.9610	1.0715
1.9930	1.0733
1.9989	1.0727
2.0000	1.0756
2.0000	1.0727
2.0010	1.0764
2.0869	1.0851
2.0869	1.0851
2.0869	1.0851
2.3156	1.1129
2.5139	1.1335
2.5514	1.1320
2.6375	1.1519
2.7025	1.1599
2.7186	1.1632
2.9296	1.1886
2.9405	1.1930
3.0000	1.2002
3.0000	1.1928
3.0038	1.1946
3.0939	1.2105
3.2015	1.2302
3.2015	1.2275
3.2015	1.2275
3.2249	1.2328
3.2579	1.2368
3.2672	1.2410
3.4321	1.2621
3.4865	1.2683
3.5345	1.2747
3.6736	1.3000
3.6813	1.3005
3.9873	1.3455
3.9992	1.3433
4.0000	1.3528
4.0000	1.3433
4.2179	1.3902
4.3018	1.3985
4.3397	1.4117
4.3739	1.4136
4.3739	1.4065
4.3739	1.4065
4.6368	1.4658
4.9288	1.5218
4.9992	1.5186
5.0000	1.5337
5.0000	1.5186
5.1160	1.5591
5.2432	1.5752
5.2593	1.5887
5.3460	1.6068
5.3886	1.6085
5.3931	1.6005
5.4952	1.6326
5.5426	1.6490
5.6126	1.6575
5.6126	1.6539
5.6126	1.6539
5.8023	1.7000
5.8227	1.7008
5.8345	1.7145
6.0216	1.7585
6.1470	1.7732
