days	22Na
2.958333333	9.92E-12
3.958333333	9.86E-12
6.958333333	9.37E-12
7.958333333	9.54E-12
8.958333333	9.54E-12
9.958333333	9.57E-12
10.95833333	9.66E-12
13.95833333	9.48E-12
15.95833333	9.37E-12
17.95833333	9.32E-12
20.95833333	9.37E-12
22.95833333	9.37E-12
27.79166667	9.23E-12
34.79166667	9.29E-12
41.79166667	9.39E-12
48.79166667	9.39E-12
57.79166667	9.42E-12
63.79166667	9.55E-12
71.79166667	9.45E-12
78.83333333	9.68E-12
85.83333333	9.69E-12
92.91666667	9.83E-12
99.73611111	9.97E-12
106.75	1.01E-11
113.75	1.04E-11
120.6666667	1.04E-11
125.71875	1.04E-11
125.71875	1.05E-11
125.71875	1.06E-11
126.7083333	1.02E-11
127.6875	1.04E-11
