        cell	       shift	        dist	          Na	           K	          Mg	          Ca	         Alk	          pH	
  1.0000e+00	  0.0000e+00	  1.6000e+00	  1.0000e-01	  5.0000e-02	  0.0000e+00	  1.4003e+00	  2.8005e+00	  7.5706e+00	
  2.0000e+00	  0.0000e+00	  4.8000e+00	  1.0000e-01	  5.0000e-02	  0.0000e+00	  1.4003e+00	  2.8005e+00	  7.5706e+00	
  3.0000e+00	  0.0000e+00	  8.0000e+00	  1.0000e-01	  5.0000e-02	  0.0000e+00	  1.4003e+00	  2.8005e+00	  7.5706e+00	
  4.0000e+00	  0.0000e+00	  1.1200e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.2881e+00	  1.5320e+01	  6.7865e+00	
  5.0000e+00	  0.0000e+00	  1.4400e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.2881e+00	  1.5320e+01	  6.7865e+00	
  6.0000e+00	  0.0000e+00	  1.7600e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.2881e+00	  1.5320e+01	  6.7865e+00	
  7.0000e+00	  0.0000e+00	  2.0800e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.2881e+00	  1.5320e+01	  6.7865e+00	
  8.0000e+00	  0.0000e+00	  2.4000e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.2881e+00	  1.5320e+01	  6.7865e+00	
  9.0000e+00	  0.0000e+00	  2.7200e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.2881e+00	  1.5320e+01	  6.7865e+00	
  1.0000e+01	  0.0000e+00	  3.0400e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.2881e+00	  1.5320e+01	  6.7865e+00	
  1.1000e+01	  0.0000e+00	  3.3600e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.2881e+00	  1.5320e+01	  6.7865e+00	
  1.3000e+01	  0.0000e+00	  3.6800e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.2881e+00	  1.5320e+01	  6.7865e+00	
  1.4000e+01	  0.0000e+00	  4.0000e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.2881e+00	  1.5320e+01	  6.7865e+00	
  1.5000e+01	  0.0000e+00	  4.3200e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.2881e+00	  1.5320e+01	  6.7865e+00	
  1.6000e+01	  0.0000e+00	  4.6400e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.2881e+00	  1.5320e+01	  6.7865e+00	
  1.7000e+01	  0.0000e+00	  4.9600e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.2881e+00	  1.5320e+01	  6.7865e+00	
  1.8000e+01	  0.0000e+00	  5.2800e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.2881e+00	  1.5320e+01	  6.7865e+00	
  1.9000e+01	  0.0000e+00	  5.6000e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.2881e+00	  1.5320e+01	  6.7865e+00	
  2.0000e+01	  0.0000e+00	  5.9200e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.2881e+00	  1.5320e+01	  6.7865e+00	
  2.1000e+01	  0.0000e+00	  6.2400e+01	  8.7381e+01	  1.9044e+00	  9.9162e+00	  4.2881e+00	  1.5320e+01	  6.7865e+00	
  1.0000e+01	  7.0000e+01	  3.0400e+01	  3.5659e-01	  4.5772e-01	  5.0860e-01	  4.0020e-01	  2.4819e+00	  8.1617e+00	
  1.1000e+01	  7.0000e+01	  3.3600e+01	  4.3575e-01	  4.6631e-01	  4.5247e-01	  3.6572e-01	  2.3884e+00	  8.2151e+00	
  1.0000e+00	  7.0000e+01	  1.6000e+00	  1.0013e-01	  5.1103e-02	  5.2501e-03	  1.3943e+00	  2.8003e+00	  7.5725e+00	
