         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	          Ca	        C(4)	        S(6)	  si_calcite	   si_pyrite	
           1	      transp	           1	         0.5	           0	           0	     4.90992	       16.09	  0.0000e+00	  3.5280e-04	  0.0000e+00	   -999.9990	   -999.9990	
           1	      transp	           2	         1.5	           0	           0	     4.90992	       16.09	  0.0000e+00	  3.5280e-04	  0.0000e+00	   -999.9990	   -999.9990	
           1	      transp	           1	         0.5	        3600	           1	     8.52827	     12.4717	  3.6983e-04	  7.2272e-04	  3.4566e-12	      0.0011	   -272.7394	
           1	      transp	           2	         1.5	        3600	           1	     8.52535	     12.4746	  3.7047e-04	  7.2412e-04	  3.4675e-13	     -0.0003	   -275.7230	
           1	      transp	           1	         0.5	        7200	           2	     8.52804	     12.4719	  3.6991e-04	  7.2288e-04	  7.1159e-12	      0.0010	   -271.7977	
           1	      transp	           2	         1.5	        7200	           2	     8.52351	     12.4764	  3.7125e-04	  7.2577e-04	  7.1240e-13	     -0.0003	   -274.7771	
           1	      transp	           1	         0.5	       10800	           3	     8.52788	     12.4721	  3.6999e-04	  7.2305e-04	  1.0775e-11	      0.0010	   -271.2564	
           1	      transp	           2	         1.5	       10800	           3	     8.52152	     12.4784	  3.7203e-04	  7.2740e-04	  1.0779e-12	     -0.0004	   -274.2293	
           1	      transp	           1	         0.5	       14400	           4	     8.52768	     12.4723	  3.7007e-04	  7.2321e-04	  1.4434e-11	      0.0010	   -270.8747	
           1	      transp	           2	         1.5	       14400	           4	     8.51979	     12.4801	  3.7283e-04	  7.2905e-04	  1.4431e-12	     -0.0003	   -273.8418	
           1	      transp	           1	         0.5	       18000	           5	      8.5275	     12.4724	  3.7015e-04	  7.2338e-04	  1.8093e-11	      0.0010	   -270.5796	
           1	      transp	           2	         1.5	       18000	           5	     8.51789	      12.482	  3.7361e-04	  7.3069e-04	  1.8082e-12	     -0.0003	   -273.5400	
