           P	       25.oC
 0.0000e+000	 0.0000e+000
 1.3427e+000	 9.9311e-001
 2.6969e+000	 9.8617e-001
 4.0620e+000	 9.7919e-001
 5.4380e+000	 9.7217e-001
 6.8250e+000	 9.6511e-001
 8.2232e+000	 9.5801e-001
 9.6328e+000	 9.5086e-001
 1.1054e+001	 9.4367e-001
 1.2487e+001	 9.3643e-001
 1.3932e+001	 9.2916e-001
 2.9089e+001	 8.5376e-001
 4.5717e+001	 7.7307e-001
 6.4145e+001	 6.8610e-001
 8.7996e+001	 5.2394e-001
 1.1159e+002	 4.3581e-001
 1.3522e+002	 3.7867e-001
 1.5889e+002	 3.3878e-001
 1.8260e+002	 3.0950e-001
 2.0634e+002	 2.8722e-001
 2.3010e+002	 2.6981e-001
 2.5389e+002	 2.5594e-001
 2.7770e+002	 2.4472e-001
 3.0153e+002	 2.3556e-001
 3.2538e+002	 2.2801e-001
 3.4923e+002	 2.2178e-001
 3.7310e+002	 2.1662e-001
 3.9698e+002	 2.1236e-001
 4.2087e+002	 2.0886e-001
 4.4477e+002	 2.0601e-001
