           P	       50.oC
 1.7329e+000	 9.9319e-001
 3.4778e+000	 9.8634e-001
 5.2337e+000	 9.7948e-001
 7.0007e+000	 9.7259e-001
 8.7788e+000	 9.6568e-001
 1.0568e+001	 9.5875e-001
 1.2369e+001	 9.5179e-001
 1.4181e+001	 9.4481e-001
 1.6004e+001	 9.3781e-001
 1.7839e+001	 9.3078e-001
 3.6850e+001	 8.5927e-001
 5.7144e+001	 7.8550e-001
 7.8837e+001	 7.0959e-001
 1.0201e+002	 6.3253e-001
 1.2750e+002	 5.3880e-001
 1.5304e+002	 4.7653e-001
 1.7865e+002	 4.3235e-001
 2.0430e+002	 3.9955e-001
 2.2999e+002	 3.7441e-001
 2.5572e+002	 3.5468e-001
 2.8149e+002	 3.3891e-001
 3.0729e+002	 3.2616e-001
 3.3312e+002	 3.1577e-001
 3.5896e+002	 3.0726e-001
 3.8484e+002	 3.0028e-001
 4.1072e+002	 2.9458e-001
 4.3663e+002	 2.8995e-001
 4.6255e+002	 2.8624e-001
 4.8848e+002	 2.8332e-001
