           x	          pH	          pe	          O2	           A	          A+	          A-	     water-1	










  1.5000e-01	  7.0000e+00	  1.1008e+01	  8.9111e-12	  9.9636e-01	  9.9636e+00	  9.9636e+00	  2.8333e-13	
  4.5000e-01	  7.0000e+00	  1.1115e+01	  2.3999e-11	  9.8119e-01	  9.8120e+00	  9.8119e+00	  1.6165e-12	
  7.5000e-01	  7.0000e+00	  1.1175e+01	  4.1705e-11	  9.3202e-01	  9.3202e+00	  9.3202e+00	  6.0325e-12	
  1.0500e+00	  7.0000e+00	  1.1223e+01	  6.4563e-11	  8.1556e-01	  8.1556e+00	  8.1556e+00	  1.7067e-11	
  1.3500e+00	  6.9999e+00	  1.1217e+01	  6.0972e-11	  6.1585e-01	  6.1585e+00	  6.1585e+00	  3.8330e-11	
  1.6500e+00	  6.9998e+00	  1.1221e+01	  6.3617e-11	  3.7666e-01	  3.7666e+00	  3.7666e+00	 -1.1946e-10	
  1.9500e+00	  6.9997e+00	  1.1007e+01	  8.8045e-12	  1.8243e-01	  1.8243e+00	  1.8243e+00	 -8.3936e-11	
  2.2500e+00	  6.9996e+00	 -1.8593e+00	  0.0000e+00	  7.0503e-02	  7.0502e-01	  7.0502e-01	 -5.2174e-11	
  2.5500e+00	  6.9996e+00	 -2.0682e+00	  0.0000e+00	  2.2228e-02	  2.2227e-01	  2.2227e-01	 -2.8682e-11	
  2.8500e+00	  6.9996e+00	 -2.1196e+00	  0.0000e+00	  6.6389e-03	  6.6377e-02	  6.6382e-02	 -1.4828e-11	












  1.5000e-01	  7.0000e+00	 -1.7086e+00	  0.0000e+00	  9.9987e-01	  9.9987e+00	  9.9987e+00	 -1.3656e-14	
  4.5000e-01	  7.0000e+00	 -1.6937e+00	  0.0000e+00	  9.9730e-01	  9.9730e+00	  9.9730e+00	 -2.7833e-13	
  7.5000e-01	  7.0000e+00	  1.1053e+01	  1.3550e-11	  9.7608e-01	  9.7608e+00	  9.7608e+00	 -2.4489e-12	
  1.0500e+00	  6.9999e+00	  1.1501e+01	  8.3440e-10	  8.8349e-01	  8.8349e+00	  8.8349e+00	 -1.1637e-11	
  1.3500e+00	  6.9998e+00	  1.1401e+01	  3.3206e-10	  6.5586e-01	  6.5586e+00	  6.5586e+00	 -3.1796e-11	
  1.6500e+00	  6.9997e+00	  1.1348e+01	  2.0415e-10	  3.4414e-01	  3.4414e+00	  3.4414e+00	 -5.0199e-11	
  1.9500e+00	  6.9997e+00	  1.1295e+01	  1.2599e-10	  1.1651e-01	  1.1651e+00	  1.1651e+00	 -4.6584e-11	
  2.2500e+00	  6.9998e+00	  1.1285e+01	  1.1429e-10	  2.3921e-02	  2.3920e-01	  2.3920e-01	 -2.6893e-11	
  2.5500e+00	  6.9998e+00	  1.1289e+01	  1.1885e-10	  2.7016e-03	  2.7007e-02	  2.7007e-02	 -9.7531e-12	
  2.8500e+00	  6.9998e+00	  1.1302e+01	  1.3373e-10	  1.2960e-04	  1.2870e-03	  1.2870e-03	 -1.7908e-12	
