        cell	          pH	          pe	          O2	           A	          A+	          A-	          cb	






  1.0000e+00	  1.2254e+01	  8.4021e+00	  3.4731e-01	  3.8279e-01	  3.3722e+00	  6.5693e+00	  5.8501e-07	
  4.0000e+00	  1.2309e+01	  8.5107e+00	  1.5706e+00	  2.8399e-01	  2.7206e+00	  5.5234e+00	  2.4028e-07	
  6.0000e+00	  1.2358e+01	  8.4777e+00	  1.8120e+00	  2.4070e-01	  2.7429e+00	  5.0885e+00	  2.6106e-07	
  8.0000e+00	  1.2351e+01	  8.4513e+00	  1.3367e+00	  2.6329e-01	  2.8079e+00	  5.3118e+00	  3.4468e-07	
  2.0000e+00	  1.1890e+01	 -1.1669e+01	  0.0000e+00	  6.3660e-02	  3.7976e-01	  8.6788e-01	  2.8437e-07	
  5.0000e+00	  1.1930e+01	 -1.1781e+01	  0.0000e+00	  4.7274e-02	  2.9957e-01	  6.4733e-01	  1.9811e-07	




  0.0000e+00	  6.0281e+00	 -3.5893e-01	  0.0000e+00	  1.0000e+00	  9.9010e-02	  1.0000e+01	  4.5922e-11	






  1.0000e+00	  6.4952e+00	  1.3104e+01	  2.0641e-05	  2.5457e-01	  1.9577e-02	  2.5457e+00	  3.1993e-08	
  4.0000e+00	  6.5838e+00	  1.3000e+01	  1.7992e-05	  1.8363e-01	  1.3094e-04	  1.8363e+00	  1.1834e-07	
  6.0000e+00	  6.6301e+00	  1.2947e+01	  1.6894e-05	  1.5309e-01	  4.6610e-07	  1.5309e+00	  9.6158e-08	
  8.0000e+00	  6.6058e+00	  1.2974e+01	  1.7320e-05	  1.6864e-01	  9.8416e-07	  1.6864e+00	  1.1934e-07	
  2.0000e+00	  6.9073e+00	  1.2631e+01	  1.1884e-05	  2.6726e-02	  3.0029e-06	  2.6726e-01	 -1.9615e-07	
  5.0000e+00	  6.9317e+00	  1.2604e+01	  1.1574e-05	  1.9058e-02	  3.9823e-09	  1.9058e-01	 -1.8471e-07	
