P_bar	Ellis,1963	Segnit,1962
1.036    	  2.090e-03		Ellis, 1963, AJS 261, 259
3.994    	  3.631e-03
1.183e+01	  5.590e-03
6.213    		  4.519e-03	Segnit et al., 1962, GCA 26, 1301
5.917    		  4.937e-03
5.917    		  5.015e-03
7.101    		  5.015e-03
7.692    		  5.041e-03
7.840    		  5.224e-03
8.580    		  5.433e-03
8.580    		  5.616e-03
9.320    		  5.720e-03
8.876    		  5.851e-03
1.287e+01		  6.034e-03
1.287e+01		  6.112e-03
1.464e+01		  6.504e-03
1.494e+01		  6.556e-03
1.509e+01		  6.660e-03
1.716e+01		  6.687e-03
1.760e+01		  6.791e-03
1.849e+01		  6.556e-03
1.923e+01		  6.869e-03
1.908e+01		  6.843e-03
1.790e+01		  6.948e-03
1.790e+01		  7.052e-03
1.893e+01		  7.052e-03
1.967e+01		  7.052e-03
1.953e+01		  7.601e-03
1.938e+01		  7.888e-03
2.101e+01		  7.653e-03
2.485e+01		  7.705e-03
2.485e+01		  7.757e-03
2.559e+01		  7.366e-03
2.692e+01		  7.627e-03
2.692e+01		  7.757e-03
2.899e+01		  7.496e-03
2.899e+01		  7.601e-03
2.944e+01		  7.757e-03
3.003e+01		  7.784e-03
3.254e+01		  7.784e-03
3.299e+01		  8.097e-03
3.195e+01		  8.149e-03
2.885e+01		  8.646e-03
2.959e+01		  8.881e-03
3.269e+01		  8.280e-03
3.314e+01		  8.201e-03
3.314e+01		  8.306e-03
3.373e+01		  8.410e-03
3.373e+01		  8.489e-03
3.476e+01		  8.384e-03
3.550e+01		  8.515e-03
3.609e+01		  8.463e-03
3.831e+01		  8.384e-03
3.728e+01		  8.593e-03
3.802e+01		  8.802e-03
3.772e+01		  8.881e-03
3.654e+01		  8.881e-03
3.506e+01		  8.881e-03
4.142e+01		  8.724e-03
4.157e+01		  8.776e-03
4.157e+01		  8.828e-03
4.157e+01		  9.037e-03
4.157e+01		  9.090e-03
4.320e+01		  9.220e-03
4.734e+01		  8.672e-03
4.793e+01		  8.358e-03
5.178e+01		  9.037e-03
5.148e+01		  9.142e-03
5.163e+01		  9.220e-03
5.207e+01		  9.403e-03
5.237e+01		  9.403e-03
5.488e+01		  9.090e-03
5.533e+01		  8.933e-03
5.651e+01		  9.272e-03
5.636e+01		  9.403e-03
5.725e+01		  9.638e-03
5.725e+01		  9.769e-03
5.577e+01		  9.743e-03
5.518e+01		  9.743e-03
5.533e+01		  9.821e-03
5.533e+01		  9.847e-03
5.547e+01		  9.847e-03
5.577e+01		  9.821e-03
5.607e+01		  1.037e-02
5.414e+01		  1.040e-02
5.163e+01		  1.050e-02
5.725e+01		  1.068e-02
5.917e+01		  1.047e-02
5.947e+01		  1.037e-02
5.858e+01		  1.019e-02
6.050e+01		  9.978e-03
6.050e+01		  9.925e-03
6.657e+01		  9.586e-03
6.302e+01		  1.060e-02
6.228e+01		  1.047e-02
6.050e+01		  9.899e-03
4.808e+01		  1.100e-02
4.645e+01		  1.032e-02
4.793e+01		  1.021e-02
4.808e+01		  1.013e-02
4.793e+01		  9.586e-03
4.393e+01		  9.899e-03
3.861e+01		  9.586e-03
3.817e+01		  9.716e-03
3.107e+01		  9.951e-03
