P	CO2
2.783e-01	 -4.970e-04
8.348e-01	  8.484e-03
8.348e-01	  3.242e-02
8.348e-01	  2.045e-02
1.113    	  3.243e-02
3.061    	  8.630e-02
4.870    	  1.372e-01
4.870    	  1.402e-01
6.817    	  1.821e-01
7.096    	  1.851e-01
7.930    	  2.120e-01
8.904    	  2.210e-01
1.002e+01	  2.719e-01
1.503e+01	  4.066e-01
1.920e+01	  5.233e-01
2.017e+01	  5.383e-01
2.518e+01	  5.952e-01
2.532e+01	  6.371e-01
3.005e+01	  7.658e-01
3.896e+01	  9.603e-01
5.078e+01	  1.032
5.064e+01	  1.080
5.523e+01	  1.158
7.610e+01	  1.311
